GEOID,pop,pop65,income
060371011101,1500,264,66250.0
060371011102,1825,385,91512.0
060371011103,827,141,140625.0
060371011221,2481,568,127019.0
060371011222,1717,452,88077.0
060371012201,1304,207,77212.0
060371012202,2130,340,69420.0
060371012211,1000,143,73971.0
060371012212,2931,592,51438.0
060371012221,2572,428,45662.0
060371013001,1112,278,104297.0
060371013002,1065,405,125725.0
060371013003,1073,216,114839.0
060371013004,960,206,131667.0
060371014001,782,146,42188.0
060371014002,1414,321,108359.0
060371014003,1293,254,97935.0
060371021031,2054,303,72656.0
060371021041,2755,551,104978.0
060371021042,1297,208,115909.0
060371021051,475,128,106875.0
060371021052,1189,135,92000.0
060371021071,2336,419,103786.0
060371021072,1259,384,122083.0
060371031011,1685,458,135000.0
060371031012,1020,107,105543.0
060371031021,474,215,58816.0
060371031022,453,81,61591.0
060371031023,1403,262,83375.0
060371031024,1222,340,66477.0
060371031025,916,166,
060371032011,2462,192,87969.0
060371032012,1963,553,109300.0
060371032021,1945,474,117338.0
060371033001,1679,337,151315.0
060371033002,2342,416,135590.0
060371034011,2552,725,100893.0
060371034021,1051,281,94792.0
060371034022,805,302,121094.0
060371034023,465,58,
060371034024,1488,223,107277.0
060371041031,2021,492,103250.0
060371041032,2236,282,113750.0
060371041051,1906,277,108250.0
060371041052,2706,327,37567.0
060371041053,1278,275,72845.0
060371041081,2008,119,90268.0
060371041082,1761,488,70417.0
060371041083,1183,113,144375.0
060371041241,1605,431,59806.0
060371041242,1842,215,107045.0
060371041243,643,120,102250.0
060371042011,1199,162,126579.0
060371042012,1976,244,102443.0
060371042013,1150,104,77444.0
060371042031,2051,186,67660.0
060371042032,2927,362,72738.0
060371042041,1493,273,44485.0
060371042042,2243,175,84219.0
060371043101,1500,225,87202.0
060371043102,1582,218,100625.0
060371043103,1394,227,131198.0
060371043211,991,221,76579.0
060371043212,1454,261,
060371043213,481,23,48967.0
060371043221,1277,95,66174.0
060371043222,579,88,131667.0
060371044011,1947,158,90388.0
060371044012,1136,166,61765.0
060371044031,1522,312,98350.0
060371044032,770,126,105125.0
060371044041,1641,253,91100.0
060371044042,1733,99,80769.0
060371045001,1980,143,67045.0
060371045002,1559,209,95337.0
060371046101,1916,307,79643.0
060371046102,1208,122,101250.0
060371046201,1107,147,95096.0
060371046202,2159,219,85962.0
060371047011,627,60,116023.0
060371047012,2320,189,47804.0
060371047013,969,36,73973.0
060371047031,1327,91,43036.0
060371047032,979,129,53750.0
060371047041,1721,215,68750.0
060371047042,1944,125,81410.0
060371047043,997,65,52708.0
060371048211,2260,296,81250.0
060371048212,1216,152,93365.0
060371048221,2199,315,48750.0
060371048231,1838,188,98419.0
060371048232,1357,106,72056.0
060371048241,778,36,84779.0
060371048242,1804,260,117596.0
060371060101,1736,211,110417.0
060371060102,2313,367,156250.0
060371060201,1450,275,140995.0
060371060202,1121,213,131000.0
060371060203,2279,219,101406.0
060371061111,2568,325,103882.0
060371061112,2139,411,127813.0
060371061121,1935,184,107891.0
060371061122,1617,342,96852.0
060371061123,1483,248,107944.0
060371061131,2016,341,117422.0
060371061132,1819,159,138182.0
060371061141,1663,191,47212.0
060371061142,2118,28,68616.0
060371061143,3148,370,109615.0
060371064031,972,82,136985.0
060371064032,1353,176,99250.0
060371064033,1535,116,83239.0
060371064051,1745,158,91336.0
060371064052,1477,172,82704.0
060371064053,927,35,105556.0
060371064061,3413,651,100653.0
060371064062,907,196,103608.0
060371064063,1972,89,116282.0
060371064071,1258,360,28413.0
060371064072,1075,113,38359.0
060371064081,3010,140,59375.0
060371064082,822,13,52625.0
060371065101,1788,234,122747.0
060371065102,1851,56,81108.0
060371065103,1960,265,143611.0
060371065201,2421,444,73750.0
060371065202,1560,354,101146.0
060371065203,1503,77,167701.0
060371066031,1779,285,120000.0
060371066032,1902,474,195648.0
060371066041,1740,233,65565.0
060371066042,1491,197,83836.0
060371066043,1118,173,64643.0
060371066411,2096,475,118387.0
060371066421,1125,262,107083.0
060371066422,1270,248,147986.0
060371066423,1119,195,142466.0
060371066431,2016,471,213224.0
060371066432,1176,173,224205.0
060371066433,1119,392,174037.0
060371066451,1208,220,105417.0
060371066452,2464,530,162401.0
060371066461,2056,418,130313.0
060371066462,1036,188,120938.0
060371066481,3938,357,85387.0
060371066482,775,97,25882.0
060371066491,1489,317,84420.0
060371066492,1200,152,111583.0
060371070101,1719,287,103487.0
060371070102,1278,162,90560.0
060371070201,1311,74,108229.0
060371070202,896,128,85208.0
060371070203,1893,263,60250.0
060371070204,821,96,72188.0
060371081011,2128,573,151027.0
060371081021,1062,156,85956.0
060371081022,994,289,161042.0
060371081023,1421,351,131662.0
060371081031,1365,435,130227.0
060371081032,1688,298,192560.0
060371081041,1754,367,144167.0
060371082021,2532,395,170437.0
060371082022,3662,444,197176.0
060371082023,4054,360,221919.0
060371082031,2084,472,137500.0
060371082032,1073,388,172917.0
060371082041,1782,298,177283.0
060371091001,1077,320,68347.0
060371091002,1784,616,87037.0
060371092001,1152,170,118269.0
060371092002,1056,233,139107.0
060371092003,655,51,120585.0
060371093001,874,172,115625.0
060371093002,1345,227,114341.0
060371093003,686,63,165341.0
060371094001,509,189,
060371094002,1796,222,111193.0
060371094003,1315,250,91964.0
060371095001,816,147,68207.0
060371095002,2299,175,83106.0
060371095003,792,129,120938.0
060371096011,1296,91,124500.0
060371096012,1106,168,151701.0
060371096013,967,170,120321.0
060371096014,1673,342,89145.0
060371096031,1038,315,72000.0
060371096032,1205,102,91635.0
060371096033,1795,167,81202.0
060371096041,863,132,62467.0
060371096042,789,166,105438.0
060371096043,1069,181,106536.0
060371097001,1587,405,156103.0
060371097002,1774,356,107500.0
060371097003,898,155,125556.0
060371098001,1464,276,136681.0
060371098002,800,199,75941.0
060371098003,1293,276,54024.0
060371098004,1068,330,67487.0
060371111001,1077,288,108450.0
060371111002,1888,294,116307.0
060371112011,1001,233,78056.0
060371112012,1768,275,180313.0
060371112013,506,119,140227.0
060371112021,1563,130,126267.0
060371112022,1565,499,105982.0
060371112023,2614,284,107022.0
