GEOID,pop,pop65,income,units
060290001021,1566,216,73488.0,702
060290001022,1301,138,50919.0,627
060290001031,1750,80,33302.0,621
060290001032,909,71,61726.0,276
060290001033,2298,146,,766
060290001041,1691,210,59258.0,539
060290001051,2137,475,70409.0,1048
060290001052,2569,73,109551.0,911
060290001061,2515,140,73789.0,910
060290002011,699,139,12690.0,454
060290002012,1682,155,48901.0,585
060290002013,1156,82,34604.0,325
060290002014,375,13,32381.0,186
060290002021,1577,153,63083.0,493
060290002022,1101,88,43583.0,369
060290002023,1166,105,53105.0,514
060290003001,1576,346,47983.0,538
060290003002,1321,131,47522.0,683
060290003003,1183,166,,460
060290003004,525,66,100042.0,258
060290004001,1650,181,29939.0,621
060290004002,1656,154,41250.0,552
060290004003,1339,262,21633.0,686
060290005041,1557,308,67284.0,556
060290005042,1931,406,118309.0,600
060290005043,1342,217,,668
060290005051,2234,604,89859.0,767
060290005052,1881,589,,751
060290005061,1373,95,69545.0,472
060290005062,374,6,168659.0,108
060290005063,1293,184,80256.0,715
060290005071,2750,496,123411.0,870
060290005072,1399,186,84135.0,609
060290005081,962,210,182167.0,312
060290005082,755,119,116875.0,334
060290005091,699,39,183690.0,204
060290005092,2019,139,155417.0,571
060290005101,1210,108,122905.0,320
060290005102,2671,262,145500.0,630
060290005103,837,163,166020.0,341
060290006011,720,24,,294
060290006012,1282,778,32060.0,775
060290006021,1676,55,48077.0,418
060290006022,1240,28,28800.0,509
060290006031,1185,196,14980.0,511
060290006032,1016,277,34702.0,404
060290007011,1704,225,45189.0,586
060290007012,975,80,47051.0,444
060290007021,1019,166,67235.0,353
060290007022,1728,394,81211.0,677
060290008001,1439,146,58939.0,448
060290008002,1311,47,95899.0,296
060290008003,817,64,54826.0,280
060290008004,1045,174,93851.0,304
060290008005,0,0,,0
060290008006,882,203,87708.0,298
060290009021,1093,243,48993.0,565
060290009022,1946,196,76146.0,806
060290009031,2799,156,103100.0,744
060290009032,856,207,53689.0,466
060290009033,623,105,65066.0,293
