GEOID,pop,pop65,income
060133010001,1316,464,78911.0
060133010002,828,155,
060133010003,2432,202,158608.0
060133010004,875,50,64009.0
060133020051,1291,351,43480.0
060133020052,3075,154,99271.0
060133020053,2148,352,98986.0
060133020054,807,136,85956.0
060133020061,1894,156,151423.0
060133020062,2348,242,120000.0
060133020071,2321,195,137279.0
060133020072,2977,378,117500.0
060133020073,2046,340,109595.0
060133020091,2884,259,100653.0
060133020092,849,103,189028.0
060133020093,506,83,84659.0
060133020094,2468,276,154423.0
060133020111,3974,233,140952.0
060133020112,1623,226,111546.0
060133020121,1950,185,114232.0
060133020122,3792,240,172692.0
060133020131,2204,297,143409.0
060133020132,528,153,196818.0
060133020141,3735,453,144969.0
060133020142,2532,280,119131.0
060133020143,1343,118,196412.0
060133031041,3905,476,144152.0
060133031042,2457,245,177188.0
060133031051,3504,148,175451.0
060133031061,3178,471,130230.0
060133031062,2811,437,60806.0
060133031063,2554,255,138768.0
060133031071,1951,158,121563.0
060133031072,1818,173,140451.0
060133031073,1701,90,158125.0
060133031074,1966,69,138432.0
060133032021,3376,218,116250.0
060133032022,2823,468,191176.0
060133032023,2394,285,120690.0
060133032041,1693,587,77847.0
060133032042,1134,69,
060133032043,2200,200,160250.0
060133032061,2990,142,157569.0
060133032062,2374,222,166513.0
060133032071,3023,258,120806.0
060133032072,5000,422,133333.0
060133032073,890,199,128828.0
060133032081,1048,54,167917.0
060133032082,3270,994,141398.0
060133032091,2555,336,197344.0
060133032092,2716,117,119107.0
060133032101,2476,784,104375.0
060133032102,1377,1325,108050.0
060133032111,2429,261,145799.0
060133032112,1812,110,162308.0
060133040011,3169,1455,128971.0
060133040012,2785,419,225972.0
060133040021,1981,284,93125.0
060133040031,1307,413,163281.0
060133040032,2117,523,149763.0
060133040041,2350,708,142202.0
060133040042,1112,192,136938.0
060133040061,3598,574,165842.0
060133040071,1621,359,123026.0
060133040072,2046,17,162878.0
060133040073,1302,221,156265.0
060133050001,2002,268,73958.0
060133050002,1140,291,
060133050003,935,0,
060133050004,2105,82,62461.0
060133050005,1710,636,39428.0
060133060021,1828,412,105589.0
060133060022,2580,251,120006.0
060133060031,1493,168,66168.0
060133060032,2045,417,40976.0
060133060033,1590,149,
060133060041,2380,473,94090.0
060133060042,997,152,66535.0
060133071011,1896,253,111442.0
060133071012,1105,288,48167.0
060133071013,1608,394,127929.0
060133071021,454,58,59219.0
060133071022,1356,161,
060133071023,1935,253,80719.0
060133071024,2089,371,79357.0
060133072011,2702,483,96991.0
060133072012,1411,143,48571.0
060133072021,1697,69,75600.0
060133072022,666,39,38011.0
060133072023,1913,142,44688.0
060133072041,1875,203,111250.0
060133072042,1076,191,113897.0
060133072043,1675,259,86182.0
060133072051,1647,98,65571.0
060133072052,2344,332,65339.0
060133072053,1203,147,73808.0
060133072054,2193,322,108018.0
060133080011,1193,560,64176.0
060133080012,2137,267,150673.0
060133080013,3398,252,98489.0
060133080014,1242,296,94884.0
060133080021,2557,178,113886.0
060133080022,1426,148,114205.0
060133080023,654,49,130625.0
060133090001,1398,315,66125.0
060133090002,773,180,85750.0
060133090003,1492,230,98672.0
060133100001,1418,190,77917.0
060133100002,1120,347,
060133100003,2393,203,108424.0
060133100004,1392,126,94250.0
060133110001,1304,145,
060133110002,2112,267,90446.0
060133110003,2053,123,108068.0
060133120001,2759,340,58971.0
060133131021,3489,421,70667.0
060133131022,1304,295,102271.0
060133131041,1655,216,74101.0
060133131042,1335,246,56130.0
060133131051,1814,354,125391.0
060133131052,2103,539,59813.0
060133131053,1873,0,76290.0
060133131061,3384,429,208036.0
060133131062,3622,423,112722.0
060133131071,1194,100,143869.0
060133131072,1661,279,154531.0
060133132031,487,128,153750.0
060133132032,2790,412,120114.0
060133132041,2440,424,67462.0
060133132042,1680,358,138576.0
060133132043,1582,67,83879.0
060133132051,2069,213,110911.0
060133132061,1435,226,93571.0
060133132062,1846,110,50524.0
060133132063,1846,335,99357.0
060133132064,1230,257,57688.0
060133141021,2860,372,100625.0
060133141022,1589,90,103266.0
060133141023,2135,345,83864.0
060133141031,2336,122,72843.0
060133141032,1455,195,79919.0
060133141033,1815,12,88393.0
060133141051,1867,393,117969.0
060133141052,1864,301,54316.0
060133141061,1560,187,69189.0
060133141062,2609,31,75361.0
060133142001,2071,219,79276.0
060133142002,2253,315,90602.0
060133142003,2855,255,81612.0
060133150001,874,200,118828.0
060133150002,2778,313,128686.0
060133160001,1226,195,62619.0
060133170001,1069,178,69476.0
