h3,pop,pct65,income,ac_est,ac_src
8829a11001fffff,1.0,13.11,123976.99999999999,83.2,measured
8829a11009fffff,578.0,13.49,126875.74107707458,99.48,measured
8829a1100bfffff,1.0,13.11,123977.0,83.2,measured
8829a1100dfffff,475.0,15.86,156175.8907452142,99.46,measured
8829a11041fffff,4923.0,5.92,75117.10184312619,98.25,measured
8829a11043fffff,3192.0,7.81,109843.06763223687,99.19,measured
8829a11045fffff,1480.0,15.49,123159.67843548907,97.84,measured
8829a11047fffff,1329.0,14.14,136387.2977170154,99.5,measured
8829a11049fffff,3037.0,12.75,92708.7965299362,97.76,measured
8829a1104bfffff,2455.0,15.46,84434.50365458582,98.88,measured
8829a1104dfffff,5975.0,10.43,60045.389536442955,97.71,measured
8829a11051fffff,1450.0,17.68,105715.18073624255,99.14,measured
8829a11053fffff,102.0,13.52,143400.27341848137,99.13,measured
8829a11055fffff,1133.0,16.32,104425.15806166602,99.24,measured
8829a11057fffff,47.0,18.9,101348.52278172705,98.63,measured
8829a11059fffff,1485.0,5.22,89586.247467699,99.29,measured
8829a1105bfffff,823.0,13.23,129636.0749853842,99.3,measured
8829a1105dfffff,1884.0,18.54,99137.00702655564,99.01,measured
8829a11061fffff,812.0,18.15,128193.75068008104,97.9,measured
8829a11063fffff,47.0,18.83,130793.02628442323,97.37,measured
8829a11065fffff,711.0,19.21,127808.70897406261,99.08,measured
8829a11067fffff,1.0,13.11,123977.0,83.2,measured
8829a11069fffff,2917.0,10.32,106971.47106840568,98.63,measured
8829a1106bfffff,2332.0,13.77,127775.64917113165,98.42,measured
8829a1106dfffff,1541.0,15.56,117097.51353999558,99.15,measured
8829a11141fffff,1.0,13.11,123976.99999999999,83.2,measured
8829a11143fffff,1.0,13.11,123977.0,83.2,measured
8829a11145fffff,1.0,13.11,123977.0,83.2,measured
8829a11147fffff,1.0,13.11,123977.0,83.2,measured
8829a11149fffff,1.0,13.11,123977.0,83.2,measured
8829a1114bfffff,1.0,13.11,123977.0,83.2,measured
8829a1114dfffff,1.0,13.11,123976.99999999999,83.2,measured
8829a11151fffff,1.0,13.11,123977.0,83.2,measured
8829a11159fffff,1.0,13.11,123977.0,83.2,measured
8829a1115bfffff,1.0,13.11,123976.99999999999,83.2,measured
8829a1115dfffff,1.0,13.11,123977.00000000001,83.2,measured
8829a11169fffff,1.0,13.11,123977.0,83.2,measured
8829a1116bfffff,1.0,13.11,123977.0,83.2,measured
8829a1116dfffff,1.0,13.11,123977.0,83.2,measured
8829a11201fffff,1033.0,22.77,98442.6309914985,98.64,measured
8829a11203fffff,203.0,7.79,120585.00000000001,99.1,measured
8829a11205fffff,1779.0,22.24,89067.50632873943,98.33,measured
8829a11207fffff,918.0,19.24,104232.73606538643,98.92,measured
8829a11209fffff,1905.0,22.42,94272.86876356145,98.71,measured
8829a1120bfffff,1766.0,17.6,134405.36462700157,99.1,measured
8829a1120dfffff,1187.0,25.27,92797.09294313194,98.3,measured
8829a11211fffff,1082.0,20.78,148048.16687996907,98.84,measured
8829a11213fffff,1107.0,21.74,153753.64580332176,98.88,measured
8829a11215fffff,0.0,21.51,162401.0,98.8,measured
8829a11217fffff,21.0,21.51,162401.0,98.8,measured
8829a11219fffff,1739.0,20.17,132140.1894598137,99.07,measured
8829a1121bfffff,1495.0,21.26,136501.3615148264,99.21,measured
8829a1121dfffff,1026.0,18.79,114545.98149602083,98.84,measured
8829a11221fffff,3759.0,7.47,107878.58543068948,96.97,measured
8829a11223fffff,4058.0,10.94,85195.1600319866,98.24,measured
8829a11225fffff,4095.0,12.68,93486.11220691333,98.04,measured
8829a11227fffff,3657.0,13.29,107678.61748859829,97.76,measured
8829a11229fffff,3106.0,17.04,71556.97780943465,96.2,measured
8829a1122bfffff,3954.0,12.6,73267.38658960292,97.79,measured
8829a1122dfffff,3076.0,13.04,80733.80989672172,97.15,measured
8829a11231fffff,1996.0,14.49,68855.53701412043,97.74,measured
8829a11233fffff,1046.0,12.16,85209.62642715962,98.08,measured
8829a11235fffff,2829.0,11.76,121570.98684285145,98.13,measured
8829a11237fffff,1809.0,18.71,93223.2734098776,98.1,measured
8829a11239fffff,555.0,14.79,76580.82010614272,98.08,measured
8829a1123bfffff,513.0,13.97,71002.97392949648,97.7,measured
8829a1123dfffff,2928.0,10.87,83539.64950348588,97.97,measured
8829a11241fffff,2884.0,13.05,85238.04422757923,97.51,measured
8829a11243fffff,2038.0,22.3,129730.45561426692,98.81,measured
8829a11245fffff,2406.0,12.39,117771.05344951687,98.75,measured
8829a11247fffff,2160.0,18.18,97230.8053053296,97.85,measured
8829a11249fffff,2521.0,18.49,96809.3214723567,96.94,measured
8829a1124bfffff,2269.0,26.27,86395.60092416144,98.19,measured
8829a1124dfffff,2380.0,21.46,101490.34240459166,98.71,measured
8829a11251fffff,2607.0,20.56,108515.88597349598,98.33,measured
8829a11253fffff,1989.0,18.96,103903.97296644788,98.78,measured
8829a11255fffff,2217.0,18.72,119323.79758801237,99.12,measured
8829a11257fffff,1443.0,16.13,127612.83218572292,99.03,measured
8829a11259fffff,3135.0,19.02,97960.58635584664,98.55,measured
8829a1125bfffff,4547.0,17.9,88076.87345611393,98.3,measured
8829a1125dfffff,2259.0,19.0,112809.78958775975,99.02,measured
8829a11261fffff,2131.0,13.33,87158.50288234955,98.19,measured
8829a11263fffff,2269.0,17.14,94581.01639497427,97.69,measured
8829a11265fffff,2729.0,12.17,105730.20665017706,97.76,measured
8829a11267fffff,3358.0,9.27,76806.04541590401,97.02,measured
8829a11269fffff,1848.0,18.33,91404.97583677244,98.61,measured
8829a1126bfffff,1914.0,16.74,112208.85021575283,98.57,measured
8829a1126dfffff,3190.0,11.94,79926.63441507821,96.36,measured
8829a11281fffff,287.0,15.79,121246.66438652508,99.49,measured
8829a11283fffff,41.0,6.28,171875.0,99.2,measured
