h3,pop,pct65,income,ac_est
8929ac48043ffff,0.0,11.39,43542.01977999264,42.18
8929ac48047ffff,0.0,11.39,43542.97137998991,42.22
8929ac4804bffff,0.0,11.39,43542.06992926932,42.2
8929ac48053ffff,0.0,11.39,43542.0,41.94
8929ac48057ffff,0.0,11.39,43542.0,41.94
8929ac4805bffff,0.0,11.39,43542.0,41.94
8929ac480c3ffff,0.0,11.39,43542.0,41.94
8929ac480cbffff,0.0,11.39,43542.0,41.94
8929ac480cfffff,0.0,11.39,43542.0,41.94
8929ac480d3ffff,0.0,11.39,43542.0,41.94
8929ac480dbffff,0.0,11.39,43542.0,41.94
8929ac48203ffff,0.0,11.61,63750.00000000001,51.08
8929ac4820bffff,2.0,11.61,63750.0,49.85
8929ac4820fffff,0.0,11.61,63749.99999999999,48.68
8929ac48213ffff,0.0,11.61,63750.0,49.85
8929ac4821bffff,2.0,11.61,63750.0,49.85
8929ac48223ffff,2.0,11.61,63750.00000000001,51.08
8929ac48227ffff,2.0,11.61,63750.0,49.85
8929ac4822bffff,2.0,11.61,63750.0,49.85
8929ac4822fffff,2.0,11.61,63750.00000000001,51.08
8929ac48233ffff,0.0,11.61,63750.0,49.85
8929ac48237ffff,1.0,11.61,63750.0,49.85
8929ac4823bffff,1.0,11.61,63750.0,49.85
8929ac48243ffff,2.0,11.61,63750.0,49.85
8929ac48247ffff,2.0,11.61,63750.0,49.85
8929ac4824bffff,2.0,11.61,63750.0,49.85
8929ac4824fffff,2.0,11.61,63750.0,49.85
8929ac48253ffff,2.0,11.61,63750.0,49.85
8929ac48257ffff,2.0,11.61,63750.00000000001,51.08
8929ac4825bffff,2.0,11.61,63750.0,49.85
8929ac48263ffff,2.0,11.61,63750.0,49.85
8929ac48267ffff,2.0,11.61,63750.0,49.85
8929ac4826bffff,1.0,11.61,63750.0,49.85
8929ac4826fffff,1.0,11.61,63750.0,49.85
8929ac48273ffff,2.0,11.61,63750.0,49.85
8929ac48277ffff,2.0,11.61,63749.99999999999,48.68
8929ac4827bffff,2.0,11.61,63750.00000000001,51.08
8929ac48283ffff,0.0,11.39,43542.0,41.94
8929ac4828bffff,0.0,11.61,63750.0,49.85
8929ac48293ffff,0.0,11.39,43542.0,41.94
8929ac48297ffff,0.0,11.39,43542.0054667704,42.17
8929ac4829bffff,0.0,11.46,49886.76327783028,44.65
8929ac482c3ffff,2.0,11.61,63750.00000000001,51.08
8929ac482c7ffff,2.0,11.61,63750.0,49.85
8929ac482cbffff,2.0,11.61,63750.00000000001,51.08
8929ac482cfffff,2.0,11.61,63750.0,49.85
8929ac482d3ffff,1.0,11.61,63749.72521046016,48.45
8929ac482d7ffff,2.0,11.61,63750.0,49.85
8929ac482dbffff,2.0,11.61,63750.0,49.85
8929ac48343ffff,2.0,11.61,63750.0,49.85
8929ac48347ffff,0.0,11.61,63750.0,49.85
8929ac4834bffff,2.0,11.61,63750.0,49.85
8929ac4834fffff,2.0,11.61,63750.0,49.85
8929ac48353ffff,2.0,11.61,63750.0,49.85
8929ac48357ffff,0.0,11.61,63750.0,49.85
8929ac4835bffff,2.0,11.61,63750.0,49.85
8929ac48363ffff,1.0,11.61,63750.0,49.85
8929ac48367ffff,2.0,11.61,63750.0,49.85
8929ac4836bffff,2.0,11.61,63750.0,49.85
8929ac4836fffff,2.0,11.61,63750.00000000001,51.08
8929ac4837bffff,0.0,11.61,63750.0,49.85
8929ac483c3ffff,0.0,11.61,63750.0,49.85
8929ac483cbffff,2.0,11.61,63750.0,49.85
8929ac483cfffff,0.0,11.61,63750.00000000001,51.08
8929ac48603ffff,0.0,11.39,43542.0,41.94
8929ac48607ffff,0.0,11.39,43542.0,41.94
8929ac4860bffff,0.0,11.39,43542.0,41.94
8929ac4860fffff,0.0,11.39,43542.0,41.94
8929ac4861bffff,0.0,11.39,43542.0,41.94
8929ac48623ffff,0.0,11.39,43542.0,41.94
8929ac48627ffff,0.0,11.39,43542.0,41.94
8929ac4862bffff,0.0,11.39,43542.0,41.94
8929ac4862fffff,0.0,11.39,43542.0,41.94
8929ac48633ffff,0.0,11.39,43542.0,41.94
8929ac48637ffff,0.0,11.39,43542.0,41.94
8929ac4863bffff,0.0,11.39,43542.0,41.94
8929ac48663ffff,0.0,11.39,43542.0,41.94
8929ac48667ffff,0.0,11.39,43542.0,41.94
8929ac4866fffff,0.0,11.59,61651.29693569199,47.83
8929ac48673ffff,0.0,11.39,43542.0,41.94
8929ac48677ffff,0.0,11.39,43542.0,41.94
8929ac486a7ffff,0.0,11.39,43542.0,41.94
8929ac486abffff,0.0,11.39,43542.0,41.94
8929ac486afffff,0.0,11.39,43542.0,41.94
8929ac48827ffff,0.0,4.91,147596.0,87.9
8929ac48867ffff,0.0,4.91,147596.0,87.9
8929ac4886fffff,5.0,4.98,145140.16239856006,86.91
8929ac48923ffff,93.0,7.62,145159.77154555937,86.92
8929ac48927ffff,234.0,7.24,150374.69009442537,88.65
8929ac4892bffff,133.0,15.18,69490.1514777831,52.99
8929ac4892fffff,253.0,7.77,145008.02508021976,86.89
8929ac48933ffff,7.0,4.91,147596.0,87.9
8929ac48937ffff,9.0,4.91,147596.0,87.9
8929ac4893bffff,0.0,4.91,147596.0,87.9
8929ac48943ffff,8.0,4.91,147596.0,87.9
8929ac48947ffff,3.0,4.91,147596.0,87.9
8929ac4894bffff,7.0,4.91,147596.0,87.9
8929ac4894fffff,41.0,6.28,98421.25875528836,66.55
8929ac48953ffff,8.0,4.91,147596.0,87.9
8929ac48957ffff,3.0,4.91,147596.0,87.9
8929ac4895bffff,0.0,4.91,147596.0,87.9
8929ac48963ffff,250.0,8.56,82493.54361288671,59.56
8929ac48967ffff,139.0,15.21,69124.0,52.85
8929ac4896bffff,325.0,6.61,86406.0,61.75
8929ac4896fffff,245.0,8.72,82173.37417316457,59.5
8929ac48973ffff,7.0,7.54,84531.95031270826,61.25
8929ac48977ffff,66.0,15.21,69124.0,52.85
8929ac4897bffff,198.0,6.6,86744.72484893518,61.85
8929ac489a3ffff,0.0,4.91,147596.0,87.9
8929ac489a7ffff,5.0,4.91,147596.0,87.9
8929ac489abffff,4.0,4.91,147596.0,87.9
8929ac489afffff,9.0,4.91,147596.0,87.9
8929ac489b7ffff,2.0,4.91,147596.0,87.9
8929ac489cbffff,3.0,4.91,147596.0,87.9
8929ac489cfffff,3.0,4.91,147596.0,87.9
8929ac48a37ffff,5.0,8.04,49728.00000413655,44.63
8929ac48a6fffff,0.0,8.04,49728.0,44.49
8929ac48aa7ffff,1.0,8.04,49728.00000000001,44.62
8929ac48aafffff,6.0,8.04,49728.0,44.49
8929ac48b03ffff,318.0,2.68,118575.94983432392,75.63
8929ac48b07ffff,315.0,3.01,119214.0811229251,75.78
8929ac48b0bffff,122.0,9.18,77596.4528784484,55.47
8929ac48b0fffff,283.0,2.77,119095.0,75.7
8929ac48b13ffff,208.0,2.56,119095.00000001804,75.72
8929ac48b17ffff,222.0,3.57,119366.39038930315,75.83
8929ac48b1bffff,221.0,10.65,83508.35228235989,59.68
8929ac48b23ffff,299.0,4.63,119648.65200002394,75.91
8929ac48b27ffff,298.0,5.28,119252.88450136075,75.8
8929ac48b2bffff,308.0,4.0,121727.7096539694,76.42
8929ac48b2fffff,293.0,6.16,126237.52782096369,78.53
8929ac48b33ffff,307.0,3.82,119432.02597236443,75.85
8929ac48b37ffff,298.0,4.91,118049.23693535196,74.32
8929ac48b3bffff,320.0,2.6,119104.34852008386,75.74
8929ac48b47ffff,40.0,3.06,145804.0,87.19
8929ac48b4bffff,51.0,2.39,145804.0,87.19
8929ac48b4fffff,257.0,2.13,145804.0,87.19
8929ac48b57ffff,34.0,13.51,70874.0,54.0
8929ac48b63ffff,109.0,3.85,68856.41881457905,52.8
8929ac48b67ffff,196.0,4.25,104133.85006830124,68.0
8929ac48b6bffff,427.0,8.41,96052.01707925547,65.79
8929ac48b6fffff,130.0,1.35,67014.31522750609,52.24
8929ac48b73ffff,94.0,6.46,145804.0,87.19
8929ac48b77ffff,235.0,3.15,119095.0,75.7
8929ac48b7bffff,341.0,2.29,145400.49623378014,86.95
8929ac48b83ffff,3.0,4.91,147596.0,87.9
8929ac48b87ffff,3.0,4.91,147596.0,87.9
8929ac48b8bffff,95.0,2.71,120943.63939975611,76.18
8929ac48b8fffff,2.0,2.57,119200.92812979648,75.77
8929ac48b97ffff,2.0,4.91,147596.0,87.9
8929ac48b9bffff,5.0,4.91,147596.0,87.9
8929ac48ba3ffff,45.0,5.12,114067.93366207498,72.75
8929ac48ba7ffff,314.0,6.57,87166.52357368212,61.97
8929ac48babffff,291.0,4.82,119700.0,75.95
8929ac48bafffff,211.0,4.91,117974.51462272288,74.29
8929ac48bb3ffff,34.0,5.08,116135.72351301437,73.67
8929ac48bb7ffff,308.0,6.57,87154.36741502794,61.96
8929ac48bbbffff,26.0,4.82,119700.00000000001,75.97
8929ac48bc3ffff,91.0,12.99,68809.08126351125,52.78
8929ac48bc7ffff,223.0,8.08,94750.68142897861,65.38
8929ac48bcbffff,38.0,13.49,70748.65533922556,53.66
8929ac48bcfffff,45.0,13.52,70874.0,54.0
8929ac48bd3ffff,8.0,8.04,49728.0,44.49
8929ac48bd7ffff,11.0,6.52,97089.56040309354,65.99
8929ac48bdbffff,15.0,8.04,49728.0,44.49
8929ac49183ffff,0.0,11.61,63749.9999999815,48.49
8929ac49187ffff,0.0,11.61,63750.00000000001,51.08
8929ac49193ffff,0.0,11.61,63750.0,49.85
8929ac49197ffff,2.0,11.61,63749.99999999999,48.68
8929ac491a3ffff,0.0,11.61,63750.0,49.85
8929ac491b3ffff,0.0,11.61,63750.00000000001,51.08
8929ac491b7ffff,2.0,11.61,63750.0,49.85
8929ac49507ffff,0.0,11.61,63749.99613520551,48.48
8929ac49523ffff,2.0,11.61,63750.0,49.85
8929ac49527ffff,2.0,11.61,63750.0,49.85
8929ac4952bffff,0.0,11.61,63750.0,49.85
8929ac4952fffff,2.0,11.61,63750.0,49.85
8929ac49533ffff,2.0,11.61,63750.0,49.85
8929ac49537ffff,2.0,11.61,63750.0,49.85
8929ac4953bffff,0.0,11.61,63750.0,49.85
8929ac495a7ffff,0.0,11.61,63748.22519491243,48.4
8929ac495abffff,0.0,11.61,63749.72057457022,48.43
8929ac495afffff,1.0,11.61,63749.77296027101,48.46
8929ac49803ffff,2.0,11.61,63749.99999999999,48.68
8929ac49807ffff,2.0,11.61,63750.0,49.85
8929ac4980bffff,1.0,11.61,63750.0,49.85
8929ac4980fffff,0.0,11.61,63750.0,49.85
8929ac49813ffff,2.0,11.61,63749.99999999999,48.68
8929ac49817ffff,2.0,11.61,63750.0,49.85
8929ac4981bffff,1.0,11.61,63750.0,49.85
8929ac49827ffff,0.0,11.61,63750.0,49.85
8929ac49833ffff,1.0,11.61,63750.00000000001,51.08
8929ac49837ffff,0.0,11.61,63750.0,49.85
8929ac49883ffff,2.0,11.61,63749.99999999999,48.68
8929ac49887ffff,2.0,11.61,63750.0,49.85
8929ac4988bffff,2.0,11.61,63750.0,49.85
8929ac4988fffff,2.0,11.61,63749.99999999999,48.68
8929ac49893ffff,1.0,11.61,63750.0,49.85
8929ac49897ffff,2.0,11.61,63750.0,49.85
8929ac4989bffff,2.0,11.61,63749.99999999999,48.68
8929ac498a3ffff,2.0,11.61,63749.99999999999,48.68
8929ac498a7ffff,2.0,11.61,63750.0,49.85
8929ac498abffff,2.0,11.61,63749.99999999999,48.68
8929ac498afffff,2.0,11.61,63750.0,49.85
8929ac498b3ffff,2.0,11.61,63749.99999999999,48.68
8929ac498b7ffff,2.0,11.61,63750.00000000001,51.08
8929ac498bbffff,2.0,11.61,63750.00000000001,51.08
8929ac498c7ffff,1.0,11.61,63750.00000000001,51.08
8929ac498d7ffff,1.0,11.61,63750.0,49.85
8929ac49923ffff,3.0,4.37,65072.152526007405,51.53
8929ac49927ffff,4.0,3.2,62803.18512325252,48.07
8929ac4992bffff,2.0,11.61,63750.0,49.85
8929ac4992fffff,1.0,11.58,63759.57409780613,51.32
8929ac49933ffff,2.0,8.04,49728.0,44.49
8929ac49937ffff,14.0,8.04,49728.0,44.49
8929ac4993bffff,0.0,11.61,63750.0,49.85
8929ac4994bffff,0.0,11.61,63750.0,49.85
8929ac4994fffff,0.0,11.61,63750.0,49.85
8929ac4995bffff,0.0,11.61,63749.99999999999,48.68
8929ac49963ffff,2.0,11.61,63750.0,49.85
8929ac49967ffff,2.0,11.61,63749.99999999999,48.68
8929ac4996bffff,2.0,11.61,63750.0,49.85
8929ac4996fffff,2.0,11.61,63749.99999999999,48.68
8929ac49973ffff,0.0,11.61,63750.00000000001,51.08
8929ac49977ffff,1.0,11.61,63750.0,49.85
8929ac4997bffff,1.0,11.61,63750.0,49.85
8929ac499a7ffff,1.0,8.04,49728.0,44.49
8929ac499abffff,0.0,8.04,49728.0,44.49
8929ac499afffff,10.0,8.04,49728.0,44.49
8929ac499dbffff,1.0,11.61,63750.0,49.85
8929ac49b03ffff,2.0,11.61,63750.0,49.85
8929ac49b07ffff,2.0,11.61,63750.00000000001,51.08
8929ac49b0bffff,1.0,11.61,63750.00000000001,51.08
8929ac49b0fffff,2.0,11.61,63750.0,49.85
8929ac49b13ffff,2.0,11.61,63749.99999999999,48.68
8929ac49b17ffff,2.0,11.61,63750.0,49.85
8929ac49b1bffff,1.0,11.61,63750.0,49.85
8929ac49b23ffff,2.0,11.61,63750.0,49.85
8929ac49b27ffff,4.0,7.34,50558.321171225485,44.77
8929ac49b2bffff,5.0,6.64,48398.775048420735,44.03
8929ac49b2fffff,10.0,4.92,43095.84072272124,41.52
8929ac49b33ffff,2.0,11.61,63750.0,49.85
8929ac49b37ffff,2.0,11.61,63750.0,49.85
8929ac49b3bffff,2.0,11.61,63749.99999999999,48.68
8929ac49b63ffff,4.0,6.11,46772.91010014531,43.5
8929ac49b67ffff,11.0,4.81,42757.339287282644,41.48
8929ac49b6fffff,8.0,4.7,42429.0,40.16
8929ac49b73ffff,1.0,11.61,63750.0,49.85
8929ac49b77ffff,2.0,11.61,63750.0,49.85
8929ac49b87ffff,0.0,11.61,63750.0,49.85
8929ac49b8bffff,1.0,11.61,63750.00000000001,51.08
8929ac49b8fffff,2.0,11.61,63750.0,49.85
8929ac49ba3ffff,2.0,11.61,63750.00000000001,51.08
8929ac49ba7ffff,2.0,11.61,63750.00000000001,51.08
8929ac49babffff,2.0,11.61,63750.00000000001,51.08
8929ac49bafffff,2.0,11.61,63750.0,49.85
8929ac49bb3ffff,2.0,11.61,63750.0,49.85
8929ac49bb7ffff,2.0,11.61,63749.99999999999,48.68
8929ac49bbbffff,2.0,11.61,63749.99999999999,48.68
8929ac49bc7ffff,1.0,11.61,63750.0,49.85
8929ac49c13ffff,1.0,11.61,63750.0,49.85
8929ac49c2fffff,0.0,11.61,63750.0,49.85
8929ac49c67ffff,0.0,11.61,63750.0,49.85
