h3,pop,pct65,income,ac_est
8828301001fffff,56.0,25.51,108189.83648268906,47.32
8828301003fffff,76.0,43.0,102248.87760356329,45.97
8828301005fffff,75.0,42.84,102300.77986803128,46.02
8828301007fffff,77.0,43.97,101920.0267985096,45.84
8828301009fffff,70.0,38.76,103688.30660580278,46.37
882830100bfffff,75.0,42.2,102518.25830602512,46.06
882830100dfffff,55.0,24.26,108614.11039252229,47.43
8828301011fffff,77.0,43.97,101920.0,45.74
8828301013fffff,388.0,20.44,114040.03730813778,49.07
8828301015fffff,86.0,40.99,107045.81054767559,46.95
8828301017fffff,545.0,18.18,146393.78723615737,61.7
8828301019fffff,248.0,21.34,84795.8158423527,38.81
882830101bfffff,298.0,20.21,83546.74588883412,38.65
882830101dfffff,79.0,43.33,101381.09561819403,44.87
8828301029fffff,4.0,43.97,101920.0,45.74
882830102bfffff,20.0,43.97,101920.0,45.74
8828301031fffff,0.0,43.97,101920.0,45.74
8828301039fffff,77.0,43.97,101920.0,45.74
882830103bfffff,122.0,24.05,136269.34142507738,58.63
882830103dfffff,23.0,43.97,101920.0,45.74
8828301041fffff,40.0,37.03,120224.18969387721,51.86
8828301043fffff,67.0,35.51,104336.77519207615,46.55
8828301045fffff,55.0,28.89,108879.50192020723,47.65
8828301047fffff,69.0,37.71,104044.59342998193,46.46
8828301049fffff,20.0,24.45,160000.0,69.34
882830104bfffff,34.0,14.88,126344.3813425843,55.22
882830104dfffff,20.0,24.45,159994.2997950959,68.16
8828301051fffff,48.0,10.64,111442.0,48.24
8828301053fffff,48.0,10.64,111442.0,48.24
8828301055fffff,65.0,33.34,104956.48630320531,46.59
8828301057fffff,93.0,33.15,97065.53377231375,43.85
8828301059fffff,48.0,10.64,111442.0,48.24
882830105bfffff,48.0,10.64,111442.0,48.24
882830105dfffff,48.0,10.64,111441.99999999999,48.13
8828301061fffff,55.0,24.25,108617.0,47.51
8828301063fffff,54.0,29.15,106953.26342671282,46.92
8828301065fffff,50.0,22.55,99257.2292878631,44.62
8828301067fffff,8.0,24.25,108617.0,47.51
8828301069fffff,55.0,24.25,108617.0,47.51
882830106bfffff,55.0,24.25,108617.0,47.51
882830106dfffff,94.0,20.11,85806.8054391693,39.4
88283010c1fffff,117.0,7.18,41096.0,35.12
88283010c3fffff,84.0,7.18,41096.0,35.12
88283010c5fffff,253.0,15.55,103868.67980460636,46.44
88283010c7fffff,29.0,7.18,41096.0,35.12
88283010c9fffff,125.0,8.71,46897.02711490515,35.31
88283010cbfffff,117.0,7.18,41096.0,35.12
88283010cdfffff,321.0,18.14,75502.31099799246,37.35
88283010d1fffff,0.0,7.18,41096.0,35.12
88283010d9fffff,61.0,7.18,41096.0,35.12
88283010dbfffff,0.0,7.18,41096.0,35.12
88283010ddfffff,95.0,7.18,41096.0,35.12
88283010e9fffff,262.0,17.47,147625.0,62.07
88283010edfffff,1.0,17.47,147625.0,62.07
882830110dfffff,3.0,11.77,98571.0,44.36
8828301141fffff,73.0,11.77,98571.0,44.36
8828301143fffff,41.0,11.77,98571.0,44.36
8828301145fffff,73.0,11.77,98571.0,44.36
8828301147fffff,62.0,11.77,98571.0,44.36
8828301149fffff,193.0,15.19,78210.60874608211,37.65
882830114bfffff,73.0,11.77,98571.0,44.36
882830114dfffff,73.0,11.77,98571.0,44.36
8828301159fffff,134.0,15.91,62619.0,35.73
882830115dfffff,81.0,15.11,69533.35087751072,36.42
8828301161fffff,25.0,18.46,110762.03123153963,48.05
8828301163fffff,9.0,13.99,102610.12920201459,46.08
8828301165fffff,17.0,22.88,118828.0,50.75
8828301167fffff,5.0,22.88,118828.00000000001,51.18
8828301169fffff,70.0,11.91,98828.89477017867,44.58
882830116bfffff,73.0,11.77,98571.0,44.36
882830116dfffff,17.0,22.76,118608.19062930314,50.29
8828301201fffff,20.0,24.45,160000.0,69.34
8828301203fffff,31.0,29.34,148963.97183572155,62.59
8828301205fffff,20.0,24.45,160000.0,69.34
8828301207fffff,20.0,24.45,160000.0,69.34
8828301209fffff,121.0,35.88,134174.54818593114,58.27
882830120bfffff,222.0,36.91,131848.34294415414,57.63
882830120dfffff,20.0,24.45,160000.0,69.34
8828301211fffff,770.0,19.65,118228.51033304812,50.18
8828301213fffff,863.0,18.89,122660.80908401542,54.05
8828301215fffff,203.0,20.0,121331.48733983721,52.48
8828301217fffff,393.0,19.76,119292.23673835455,51.31
8828301219fffff,286.0,34.36,129416.37661945041,56.5
882830121bfffff,413.0,27.16,123940.67687915929,54.49
882830121dfffff,353.0,29.83,125983.14630049664,55.02
8828301221fffff,20.0,24.45,160000.0,69.34
8828301223fffff,20.0,24.45,160000.0,69.34
8828301225fffff,20.0,24.45,160000.0,69.34
8828301227fffff,20.0,24.45,160000.0,69.34
8828301229fffff,20.0,24.45,160000.0,69.34
882830122bfffff,20.0,24.45,160000.0,69.34
882830122dfffff,20.0,24.45,160000.0,69.34
8828301231fffff,20.0,24.45,160000.0,69.34
8828301233fffff,36.0,14.02,123313.7141972179,54.2
8828301235fffff,20.0,24.45,160000.0,69.34
8828301237fffff,40.0,12.58,118247.06120669161,50.2
8828301239fffff,20.0,24.45,160000.0,69.34
882830123bfffff,20.0,24.45,160000.0,69.34
882830123dfffff,20.0,24.45,160000.0,69.34
8828301241fffff,20.0,24.45,160000.0,69.34
8828301243fffff,20.0,24.45,160000.0,69.34
8828301245fffff,20.0,24.45,160000.0,69.34
8828301247fffff,33.0,29.75,148033.89523548933,62.23
8828301249fffff,20.0,24.45,160000.0,69.34
882830124bfffff,20.0,24.45,160000.0,69.34
882830124dfffff,20.0,24.45,160000.0,69.34
8828301251fffff,20.0,24.45,160000.0,69.34
8828301253fffff,178.0,34.95,135274.58426846477,58.45
8828301255fffff,73.0,34.42,137479.46963198786,58.89
8828301257fffff,174.0,36.57,132622.43786743234,57.79
8828301259fffff,20.0,24.45,160000.0,69.34
882830125bfffff,97.0,24.05,154030.01493747186,64.03
882830125dfffff,20.0,24.45,160000.0,69.34
8828301261fffff,20.0,24.45,160000.0,69.34
8828301263fffff,20.0,24.45,160000.0,69.34
8828301265fffff,20.0,24.45,160000.0,69.34
8828301267fffff,20.0,24.45,160000.0,69.34
8828301269fffff,20.0,24.45,160000.0,69.34
882830126bfffff,20.0,24.45,160000.0,69.34
882830126dfffff,20.0,24.45,160000.0,69.34
8828301281fffff,1419.0,21.94,121628.07733955844,53.89
8828301283fffff,1273.0,17.14,156555.5199501604,64.4
8828301285fffff,1151.0,22.38,95696.55366917963,43.61
8828301287fffff,1207.0,20.51,120048.76628091204,51.77
8828301289fffff,965.0,25.22,117695.67664394536,50.02
882830128bfffff,1547.0,16.5,170431.74779264344,79.98
882830128dfffff,558.0,26.29,103332.22931887416,46.22
8828301291fffff,0.0,0.0,,66.44
8828301293fffff,0.0,0.0,,66.44
8828301295fffff,936.0,18.13,107698.57860874767,47.17
8828301297fffff,0.0,0.0,,66.44
8828301299fffff,858.0,10.36,146565.63144681577,61.81
882830129bfffff,0.0,0.0,,66.44
882830129dfffff,1067.0,13.21,133267.44217310892,57.94
88283012a1fffff,48.0,10.64,111442.0,48.24
88283012a3fffff,70.0,8.82,74385.8035898081,36.73
88283012a5fffff,48.0,10.64,111442.0,48.24
88283012a7fffff,119.0,16.91,91563.25792944558,40.4
88283012a9fffff,48.0,10.64,111441.99999999999,48.13
88283012abfffff,48.0,10.64,111442.0,48.24
88283012adfffff,48.0,10.64,111442.00000000001,48.35
88283012b1fffff,322.0,10.5,56108.50888012215,35.38
88283012b3fffff,0.0,0.0,,66.44
88283012b5fffff,117.0,7.18,41096.0,35.12
88283012b7fffff,111.0,7.18,41096.0,35.12
88283012b9fffff,2468.0,15.21,74541.26996086758,36.75
88283012bbfffff,256.0,20.81,66383.96390304723,36.11
88283012bdfffff,113.0,7.28,43008.934059165345,35.24
88283012c1fffff,745.0,18.86,132331.9988614839,57.72
88283012c3fffff,1854.0,21.89,133804.14342558075,58.12
88283012c5fffff,1897.0,16.1,144265.770639513,61.37
88283012c7fffff,1866.0,19.21,142825.42650264708,61.06
88283012c9fffff,511.0,31.15,143775.5369120983,61.24
88283012cbfffff,884.0,29.99,158564.70119569203,64.96
88283012cdfffff,500.0,22.51,126392.45065076047,55.27
88283012d1fffff,2099.0,18.93,114543.20898887324,49.25
88283012d3fffff,1955.0,14.29,125085.02952966807,54.8
88283012d5fffff,1921.0,16.06,123856.52859011007,54.45
88283012d7fffff,2040.0,15.26,133096.5264561909,57.88
88283012d9fffff,1382.0,23.96,122615.10931951443,53.98
88283012dbfffff,1990.0,14.47,114366.55437519989,49.2
88283012ddfffff,1151.0,26.36,150751.06081864864,63.01
88283012e1fffff,30.0,16.57,132267.53541271598,57.7
88283012e3fffff,43.0,11.84,115666.38797474792,49.56
88283012e5fffff,48.0,10.64,111442.0,48.24
88283012e7fffff,48.0,10.64,111442.00000000001,48.35
88283012e9fffff,392.0,26.36,129561.05298689498,56.55
88283012ebfffff,506.0,33.6,131866.7989274837,57.65
88283012edfffff,21.0,22.91,154562.33334897854,64.18
8828301301fffff,678.0,16.25,101229.45013203898,44.85
8828301303fffff,55.0,24.25,108911.85828937244,47.7
8828301305fffff,1864.0,11.77,135138.27604090096,58.43
8828301307fffff,765.0,20.03,107119.68375275098,46.99
8828301309fffff,29.0,24.08,135688.99601513255,58.56
882830130bfffff,29.0,24.35,134585.84146741676,58.32
882830130dfffff,1058.0,19.18,124363.11615832117,54.58
8828301311fffff,37.0,24.3,122514.77830987322,53.96
8828301313fffff,49.0,24.26,112384.12482484318,48.61
8828301315fffff,55.0,24.25,108617.0,47.51
8828301317fffff,55.0,24.25,108617.0,47.51
8828301319fffff,20.0,24.45,160000.0,69.34
882830131bfffff,20.0,24.45,160000.0,69.34
882830131dfffff,24.0,24.4,147191.85822411484,61.92
8828301321fffff,1610.0,10.07,136564.89357681762,58.72
8828301323fffff,1041.0,11.33,97532.40739801661,43.96
8828301325fffff,459.0,12.16,125390.76706898144,54.87
8828301327fffff,73.0,11.77,98571.0,44.36
8828301329fffff,1923.0,13.01,149389.93873112198,62.65
882830132bfffff,1786.0,17.65,114258.93325820519,49.16
882830132dfffff,1359.0,13.26,165667.68525081055,78.38
8828301331fffff,419.0,14.32,72485.0243629046,36.64
8828301333fffff,285.0,16.14,63891.34241050054,35.84
8828301335fffff,506.0,16.48,70025.77944587861,36.46
8828301337fffff,313.0,15.86,62974.0179268041,35.8
8828301339fffff,788.0,15.19,92883.91735240568,40.53
882830133bfffff,106.0,19.45,82141.94205420217,38.52
882830133dfffff,1707.0,14.05,110367.3107230418,47.94
8828301341fffff,20.0,24.45,160000.0,69.34
8828301343fffff,20.0,24.45,160000.0,69.34
8828301345fffff,315.0,24.75,183296.6757042424,81.59
8828301347fffff,27.0,28.84,152468.15311861906,63.56
8828301349fffff,20.0,24.45,160000.0,69.34
882830134bfffff,20.0,24.45,160000.0,69.34
882830134dfffff,148.0,24.45,191190.9824012239,82.54
8828301351fffff,20.0,24.45,160000.0,69.34
8828301353fffff,20.0,24.45,160000.0,69.34
8828301355fffff,20.0,24.45,160000.0,69.34
8828301357fffff,20.0,24.45,160000.0,69.34
8828301359fffff,20.0,24.45,160000.0,69.34
882830135bfffff,20.0,24.45,160000.0,69.34
882830135dfffff,20.0,24.45,160000.0,69.34
8828301361fffff,867.0,19.48,161091.02432480396,70.8
8828301363fffff,1121.0,15.07,150808.82459459623,63.03
8828301365fffff,1595.0,15.92,115648.64907029929,49.51
8828301367fffff,1568.0,13.39,165034.6317154933,78.25
8828301369fffff,706.0,22.97,160582.5909597837,70.71
882830136bfffff,689.0,28.44,154930.6300573545,64.29
882830136dfffff,1021.0,20.29,143363.1215480371,61.15
8828301601fffff,0.0,0.0,,66.44
8828301605fffff,0.0,0.0,,66.44
8828301609fffff,0.0,0.0,,66.44
882830160dfffff,0.0,0.0,,66.44
8828301621fffff,0.0,0.0,,66.44
8828301625fffff,0.0,0.0,,66.44
8828301627fffff,0.0,0.0,,66.44
8828301629fffff,0.0,0.0,,66.44
882830162bfffff,0.0,0.0,,66.44
882830162dfffff,0.0,0.0,,66.44
8828301641fffff,0.0,0.0,,66.44
8828301643fffff,0.0,0.0,,66.44
8828301645fffff,0.0,0.0,,66.44
8828301647fffff,0.0,0.0,,66.44
8828301649fffff,0.0,0.0,,66.44
882830164bfffff,0.0,0.0,,66.44
882830164dfffff,0.0,0.0,,66.44
8828301661fffff,0.0,0.0,,66.44
8828301663fffff,0.0,0.0,,66.44
8828301665fffff,0.0,0.0,,66.44
8828301667fffff,0.0,0.0,,66.44
8828301669fffff,0.0,0.0,,66.44
882830166bfffff,0.0,0.0,,66.44
882830166dfffff,0.0,0.0,,66.44
8828301701fffff,0.0,0.0,,66.44
8828301703fffff,0.0,0.0,,66.44
8828301705fffff,0.0,0.0,,66.44
8828301707fffff,0.0,0.0,,66.44
8828301709fffff,0.0,0.0,,66.44
882830170bfffff,0.0,0.0,,66.44
882830170dfffff,0.0,0.0,,66.44
8828301711fffff,0.0,0.0,,66.44
8828301713fffff,0.0,0.0,,66.44
8828301715fffff,0.0,0.0,,66.44
8828301719fffff,0.0,0.0,,66.44
882830171bfffff,0.0,0.0,,66.44
882830171dfffff,0.0,0.0,,66.44
8828301729fffff,0.0,0.0,,66.44
8828301741fffff,0.0,0.0,,66.44
8828301743fffff,0.0,0.0,,66.44
8828301745fffff,0.0,0.0,,66.44
8828301747fffff,0.0,0.0,,66.44
