h3,pop,pct65,income,ac_est,ac_src
892830d0883ffff,0.0,0.0,,65.65,income-model
892830d0893ffff,0.0,0.0,,65.65,income-model
892830d0897ffff,0.0,0.0,,65.65,income-model
892830d0993ffff,0.0,0.0,,65.65,income-model
892830d0c07ffff,0.0,0.0,,65.65,income-model
892830d0c17ffff,0.0,0.0,,65.65,income-model
892830d0c23ffff,0.0,0.0,,65.65,income-model
892830d0c27ffff,0.0,0.0,,65.65,income-model
892830d0c2bffff,0.0,0.0,,65.65,income-model
892830d0c2fffff,0.0,0.0,,65.65,income-model
892830d0c33ffff,0.0,0.0,,65.65,income-model
892830d0c37ffff,0.0,0.0,,65.65,income-model
892830d0c3bffff,0.0,0.0,,65.65,income-model
892830d0c83ffff,0.0,0.0,,65.65,income-model
892830d0c87ffff,0.0,0.0,,65.65,income-model
892830d0c8fffff,0.0,0.0,,65.65,income-model
892830d0c93ffff,0.0,0.0,,65.65,income-model
892830d0c97ffff,140.0,12.78,250001.0,100.0,measured
892830d0ca3ffff,0.0,0.0,,65.65,income-model
892830d0ca7ffff,0.0,0.0,,65.65,income-model
892830d0cabffff,0.0,0.0,,65.65,income-model
892830d0cafffff,0.0,0.0,,65.65,income-model
892830d0cb3ffff,133.0,7.11,250001.0,98.55,measured
892830d0cb7ffff,323.0,6.12,250001.0,98.3,measured
892830d0cbbffff,0.0,0.0,,65.65,income-model
892830d0d03ffff,75.0,12.78,250001.0,100.0,measured
892830d0d07ffff,20.0,5.54,245568.0,99.3,measured
892830d0d0bffff,128.0,12.78,250001.0,100.0,measured
892830d0d0fffff,0.0,0.0,,65.65,income-model
892830d0d13ffff,295.0,7.33,216307.09893351456,98.92,measured
892830d0d17ffff,118.0,5.27,245938.73014367098,99.3,measured
892830d0d1bffff,261.0,12.78,250001.0,100.0,measured
892830d0d23ffff,0.0,0.0,,65.65,income-model
892830d0d27ffff,0.0,0.0,,65.65,income-model
892830d0d2bffff,0.0,0.0,,65.65,income-model
892830d0d2fffff,0.0,0.0,,65.65,income-model
892830d0d33ffff,40.0,5.54,245568.0,99.3,measured
892830d0d37ffff,14.0,5.54,245568.00000000003,99.3,measured
892830d0d3bffff,0.0,0.0,,65.65,income-model
892830d0d43ffff,0.0,0.0,,65.65,income-model
892830d0d47ffff,0.0,0.0,,65.65,income-model
892830d0d4bffff,0.0,0.0,,65.65,income-model
892830d0d53ffff,0.0,0.0,,65.65,income-model
892830d0d57ffff,272.0,12.78,250001.00000000003,100.0,measured
892830d0d5bffff,0.0,0.0,,65.65,income-model
892830d0d63ffff,0.0,0.0,,65.65,income-model
892830d0d67ffff,0.0,0.0,,65.65,income-model
892830d0d77ffff,0.0,0.0,,65.65,income-model
892830d0d83ffff,142.0,4.18,196806.0,98.3,measured
892830d0d87ffff,226.0,4.83,246538.0,99.3,measured
892830d0d8bffff,710.0,4.18,196806.00000000003,98.3,measured
892830d0d8fffff,89.0,4.83,246538.0,99.3,measured
892830d0d93ffff,396.0,7.63,217452.13432269526,96.33,measured
892830d0d97ffff,237.0,8.24,123947.0,93.5,measured
892830d0d9bffff,315.0,4.82,214358.5412855769,98.3,measured
892830d0da3ffff,264.0,4.85,246517.5710788785,99.3,measured
892830d0da7ffff,203.0,4.83,246538.0,99.3,measured
892830d0dabffff,250.0,5.52,245584.920891612,99.3,measured
892830d0dafffff,211.0,5.47,245664.179437892,99.3,measured
892830d0db3ffff,215.0,4.83,246537.99999999997,99.3,measured
892830d0db7ffff,266.0,4.84,246436.3141804821,99.08,measured
892830d0dbbffff,211.0,4.83,246538.0,99.3,measured
892830d0dc3ffff,15.0,12.78,250001.0,100.0,measured
892830d0dc7ffff,0.0,0.0,,65.65,income-model
892830d0dcbffff,0.0,0.0,,65.65,income-model
892830d0dcfffff,50.0,12.78,250001.0,100.0,measured
892830d0dd3ffff,0.0,0.0,,65.65,income-model
892830d0dd7ffff,252.0,4.18,196806.0,98.3,measured
892830d0ddbffff,0.0,0.0,,65.65,income-model
892830d286bffff,0.0,0.0,,65.65,income-model
892830d286fffff,0.0,0.0,,65.65,income-model
892830d28a3ffff,68.0,5.03,245089.0,84.9,measured
892830d28a7ffff,210.0,5.03,245089.0,84.9,measured
892830d28afffff,0.0,0.0,,65.65,income-model
892830d28b7ffff,46.0,5.03,245089.0,84.9,measured
892830d2903ffff,14.0,11.86,250001.0,93.8,measured
892830d2907ffff,71.0,11.86,250000.99999999997,93.8,measured
892830d290bffff,80.0,11.86,250000.99999999997,93.8,measured
892830d290fffff,16.0,11.86,250001.0,93.8,measured
892830d2913ffff,116.0,11.86,250001.0,93.8,measured
892830d2917ffff,159.0,15.1,250001.00000000003,90.03,measured
892830d291bffff,81.0,11.86,250001.0,93.8,measured
892830d2923ffff,79.0,9.91,241354.0,93.8,measured
892830d2927ffff,231.0,11.57,225374.79135401294,85.85,measured
