h3,name,holc,access_min,access_km
8829a11001fffff,Shadow Glen Estates NE 5,,27.0,2.16
8829a11009fffff,Shadow Glen Estates NE 3,,11.5,0.92
8829a1100bfffff,Shadow Glen Estates N 2,,24.4,1.95
8829a1100dfffff,Shadow Glen Estates NE 4,,22.4,1.79
8829a11041fffff,Sylmar NE,,16.1,1.29
8829a11043fffff,Shadow Glen Estates NE,,4.8,0.38
8829a11045fffff,Sylmar NE 2,,24.7,1.97
8829a11047fffff,Shadow Glen Estates NE 2,,11.7,0.94
8829a11049fffff,Sylmar,,4.8,0.39
8829a1104bfffff,Shadow Glen Estates,,11.4,0.91
8829a1104dfffff,Sylmar E,,19.8,1.58
8829a11051fffff,Rancho Cascades NE,,1.5,0.12
8829a11053fffff,Rancho Cascades N,,15.9,1.27
8829a11055fffff,Shadow Glen Estates N,,14.0,1.12
8829a11057fffff,Rancho Cascades NE 2,,14.6,1.17
8829a11059fffff,Rancho Cascades SE,,12.8,1.03
8829a1105bfffff,Rancho Cascades,,17.1,1.37
8829a1105dfffff,Shadow Glen Estates NW,,14.6,1.17
8829a11061fffff,Sylmar NE 5,,23.5,1.88
8829a11063fffff,Shadow Glen Estates NE 6,,36.8,2.95
8829a11065fffff,Lopez/Kagel Canyons NW 5,,23.2,1.86
8829a11067fffff,Lopez/Kagel Canyons NW 7,,35.3,2.82
8829a11069fffff,Sylmar NE 4,,18.5,1.48
8829a1106bfffff,Sylmar NE 3,,27.2,2.18
8829a1106dfffff,Lopez/Kagel Canyons W 5,,8.7,0.7
8829a11141fffff,Lopez/Kagel Canyons NE 3,,62.3,4.98
8829a11143fffff,Lopez/Kagel Canyons N 4,,58.5,4.68
8829a11145fffff,Lopez/Kagel Canyons NE 4,,77.8,6.22
8829a11147fffff,Lopez/Kagel Canyons NE 6,,73.2,5.85
8829a11149fffff,Lopez/Kagel Canyons NE,,53.8,4.3
8829a1114bfffff,Lopez/Kagel Canyons N 2,,46.9,3.75
8829a1114dfffff,Lopez/Kagel Canyons NE 2,,69.4,5.55
8829a11151fffff,Lopez/Kagel Canyons N 5,,47.0,3.76
8829a11159fffff,Lopez/Kagel Canyons NW 4,,31.8,2.54
8829a1115bfffff,Lopez/Kagel Canyons NW 6,,38.5,3.08
8829a1115dfffff,Lopez/Kagel Canyons N 3,,44.4,3.55
8829a11169fffff,Lopez/Kagel Canyons NE 7,,93.3,7.47
8829a1116bfffff,Lopez/Kagel Canyons NE 8,,88.2,7.06
8829a1116dfffff,Lopez/Kagel Canyons NE 10,,108.9,8.71
8829a11201fffff,Carey Ranch S,,13.5,1.08
8829a11203fffff,Carey Ranch SW,,28.8,2.3
8829a11205fffff,Carey Ranch SE,,16.2,1.3
8829a11207fffff,Carey Ranch,,25.9,2.07
8829a11209fffff,Mission Hills N 2,,13.4,1.07
8829a1120bfffff,Carey Ranch SW 2,,24.3,1.95
8829a1120dfffff,Mission Hills N 3,,2.0,0.16
8829a11211fffff,Sylmar Acres SW 4,,45.7,3.65
8829a11213fffff,Sylmar Acres W 3,,46.2,3.69
8829a11215fffff,Sylmar Acres SW 3,,34.5,2.76
8829a11217fffff,Sylmar Acres SW 2,,31.7,2.54
8829a11219fffff,Granada Hills NE 4,,31.0,2.48
8829a1121bfffff,Granada Hills NE 5,,42.6,3.41
8829a1121dfffff,Carey Ranch W,,38.3,3.07
8829a11221fffff,Village Green E,,11.0,0.88
8829a11223fffff,Village Green N,,14.8,1.19
8829a11225fffff,San Fernando NE,C,12.3,0.98
8829a11227fffff,Village Green NE,,4.4,0.35
8829a11229fffff,San Fernando Mall,D,12.3,0.98
8829a1122bfffff,Village Green SW,,23.4,1.87
8829a1122dfffff,San Fernando,B,3.4,0.27
8829a11231fffff,Sylmar Acres SE,,14.5,1.16
8829a11233fffff,Sylmar Acres,,4.7,0.38
8829a11235fffff,Sylmar W,,11.7,0.94
8829a11237fffff,Shadow Glen Estates SW,,11.0,0.88
8829a11239fffff,Carey Ranch NW,,28.0,2.24
8829a1123bfffff,Sylmar Acres SW,,19.1,1.53
8829a1123dfffff,Carey Ranch N,,25.1,2.01
8829a11241fffff,Mission Hills,,20.4,1.63
8829a11243fffff,Mission Hills NW,,25.3,2.02
8829a11245fffff,Mission Hills E,,20.8,1.66
8829a11247fffff,Mission Hills N,,13.6,1.09
8829a11249fffff,Mission Hills S,,10.0,0.8
8829a1124bfffff,Mission Hills W,,24.2,1.94
8829a1124dfffff,Mission Hills SE,,5.8,0.46
8829a11251fffff,Granada Hills E 2,,9.8,0.79
8829a11253fffff,Granada Hills NE 3,,16.1,1.28
8829a11255fffff,Mission Hills NW 2,,24.9,1.99
8829a11257fffff,Mission Hills NW 3,,24.0,1.92
8829a11259fffff,North Hills NW 2,,9.3,0.75
8829a1125bfffff,Granada Hills E,,6.3,0.5
8829a1125dfffff,Mission Hills W 2,,18.9,1.51
8829a11261fffff,San Fernando Mall S 2,,8.4,0.67
8829a11263fffff,San Fernando Mall SW,C,17.1,1.36
8829a11265fffff,Pacoima NW,,12.7,1.02
8829a11267fffff,San Fernando Mall S,C,10.4,0.83
8829a11269fffff,Pacoima W 2,,12.9,1.03
8829a1126bfffff,Mission Hills NE,,14.8,1.18
8829a1126dfffff,Pacoima W,,6.5,0.52
8829a11281fffff,The Legends at Cascades W 2,,70.1,5.61
8829a11283fffff,The Legends at Cascades W 4,,83.3,6.66
8829a11285fffff,The Legends at Cascades W,,57.4,4.59
8829a11287fffff,The Legends at Cascades NW 2,,68.7,5.5
8829a11289fffff,The Legends at Cascades W 3,,71.2,5.7
8829a1128bfffff,Cagney Ranch Estates N 5,,83.6,6.69
8829a1128dfffff,The Legends at Cascades SW 2,,56.9,4.55
8829a11291fffff,Cagney Ranch Estates N 9,,95.6,7.65
8829a11295fffff,The Legends at Cascades NW 4,,95.2,7.62
8829a11299fffff,Cagney Ranch Estates N 6,,81.2,6.49
8829a1129bfffff,Cagney Ranch Estates N 8,,84.0,6.72
8829a1129dfffff,Cagney Ranch Estates N 7,,94.4,7.55
8829a112a1fffff,The Legends at Cascades N,,41.6,3.33
8829a112a5fffff,The Legends at Cascades NE 2,,31.2,2.49
8829a112a9fffff,The Legends at Cascades,,42.4,3.39
8829a112abfffff,The Legends at Cascades NW,,54.6,4.37
8829a112adfffff,The Legends at Cascades NE,,28.0,2.24
8829a112b9fffff,The Legends at Cascades NW 3,,81.3,6.5
8829a112c1fffff,Cagney Ranch Estates E 3,,64.2,5.14
8829a112c3fffff,Cagney Ranch Estates NE,,75.5,6.04
8829a112c5fffff,The Legends at Cascades SW 5,,51.4,4.11
8829a112c7fffff,The Legends at Cascades SW 4,,60.2,4.82
8829a112c9fffff,Cagney Ranch Estates E 2,,50.0,4.0
8829a112cbfffff,Cagney Ranch Estates E,,63.3,5.07
8829a112cdfffff,Cagney Ranch Estates E 4,,53.3,4.27
8829a112d1fffff,Cagney Ranch Estates N 2,,68.9,5.51
8829a112d3fffff,Cagney Ranch Estates NW 4,,67.2,5.38
8829a112d5fffff,Cagney Ranch Estates N 3,,84.0,6.72
8829a112d7fffff,Cagney Ranch Estates N 4,,81.2,6.49
8829a112d9fffff,Cagney Ranch Estates NW,,58.3,4.66
8829a112dbfffff,Cagney Ranch Estates NW 2,,54.2,4.33
8829a112ddfffff,Cagney Ranch Estates N,,73.8,5.9
8829a112e1fffff,The Legends at Cascades S,,30.3,2.43
8829a112e3fffff,The Legends at Cascades SW,,43.6,3.49
8829a112e5fffff,Rancho Cascades SW,,17.3,1.38
8829a112e7fffff,The Legends at Cascades SE,,32.3,2.58
8829a112e9fffff,Sylmar Acres W 2,,35.8,2.87
8829a112ebfffff,The Legends at Cascades SW 3,,45.0,3.6
8829a112edfffff,Sylmar Acres W,,20.2,1.62
8829a11301fffff,El Merrie Del W 2,,29.8,2.39
8829a11303fffff,Lopez/Kagel Canyons SW 2,,31.8,2.55
8829a11305fffff,El Merrie Del W,,37.8,3.02
8829a11307fffff,Lopez/Kagel Canyons SW,,38.1,3.05
8829a11309fffff,El Merrie Del SW 2,,15.1,1.21
8829a1130bfffff,El Merrie Del W 3,,28.7,2.3
8829a1130dfffff,El Merrie Del SW,,22.6,1.81
8829a11311fffff,San Fernando NE 3,,24.7,1.97
8829a11313fffff,Sylmar E 3,,24.9,1.99
8829a11315fffff,Lopez/Kagel Canyons W 4,,18.0,1.44
8829a11317fffff,Lopez/Kagel Canyons W 6,,10.0,0.8
8829a11319fffff,San Fernando NE 2,C,25.6,2.05
8829a1131bfffff,Sylmar E 2,,17.0,1.36
8829a1131dfffff,Parkside Industrial Center NE 3,,32.6,2.61
8829a11321fffff,Lopez/Kagel Canyons SE,,54.7,4.37
8829a11323fffff,Lopez/Kagel Canyons,,48.9,3.91
8829a11325fffff,Lopez/Kagel Canyons E 2,,60.3,4.82
8829a11327fffff,Lopez/Kagel Canyons E,,63.7,5.09
8829a11329fffff,El Merrie Del,,40.1,3.21
8829a1132bfffff,Lopez/Kagel Canyons S,,48.7,3.9
8829a1132dfffff,El Merrie Del E,,44.8,3.58
8829a11331fffff,Lopez/Kagel Canyons NW,,22.8,1.83
8829a11333fffff,Lopez/Kagel Canyons NW 3,,17.2,1.38
8829a11335fffff,Lopez/Kagel Canyons N,,38.3,3.06
8829a11337fffff,Lopez/Kagel Canyons NW 2,,31.7,2.53
8829a11339fffff,Lopez/Kagel Canyons W 2,,22.9,1.83
8829a1133bfffff,Lopez/Kagel Canyons W 3,,8.2,0.65
8829a1133dfffff,Lopez/Kagel Canyons W,,34.8,2.79
8829a11341fffff,San Fernando Gardens E 3,,4.1,0.33
8829a11343fffff,San Fernando Gardens NE 2,,7.1,0.57
8829a11345fffff,Lake View Terrace W 2,,14.3,1.15
8829a11347fffff,El Merrie Del SW 3,,8.9,0.71
8829a11349fffff,San Fernando Gardens E 2,,19.6,1.57
8829a1134bfffff,San Fernando Gardens E,,12.4,1.0
8829a1134dfffff,Stonehurst NW 2,,17.9,1.43
8829a11351fffff,Parkside Industrial Center E,,12.4,0.99
8829a11353fffff,Parkside Industrial Center NE,B,16.9,1.35
8829a11355fffff,San Fernando Gardens NE 3,,13.2,1.06
8829a11357fffff,Parkside Industrial Center NE 2,,23.6,1.89
8829a11359fffff,San Fernando Gardens NW,D,6.6,0.53
8829a1135bfffff,Parkside Industrial Center,,7.6,0.61
8829a1135dfffff,San Fernando Gardens NE,,2.9,0.23
8829a11361fffff,Lake View Terrace NW,,13.9,1.11
8829a11363fffff,El Merrie Del S,,26.7,2.14
8829a11365fffff,Lake View Terrace N,,23.9,1.91
8829a11367fffff,El Merrie Del SE,,29.2,2.34
8829a11369fffff,Lake View Terrace W,,3.8,0.31
8829a1136bfffff,El Merrie Del S 2,,17.4,1.39
8829a1136dfffff,Lake View Terrace,,11.8,0.94
8829a11641fffff,The Heights at Porter Ranch NW 30,,101.5,8.12
8829a11643fffff,The Heights at Porter Ranch NW 33,,116.7,9.34
8829a11645fffff,The Heights at Porter Ranch NW 28,,93.4,7.47
8829a11647fffff,The Heights at Porter Ranch NW 31,,108.6,8.69
8829a11649fffff,The Heights at Porter Ranch NW 29,,96.4,7.71
8829a1164bfffff,The Heights at Porter Ranch NW 32,,111.3,8.9
8829a1164dfffff,The Heights at Porter Ranch NW 27,,86.4,6.91
8829a1165dfffff,The Heights at Porter Ranch NW 34,,126.2,10.1
8829a11669fffff,The Heights at Porter Ranch NW 26,,87.3,6.98
8829a1166dfffff,The Heights at Porter Ranch NW 24,,83.7,6.7
8829a11749fffff,Cagney Ranch Estates NW 11,,81.4,6.51
8829a1174dfffff,Cagney Ranch Estates NW 10,,89.4,7.15
8829a11a49fffff,Sunland N 24,,133.5,10.68
8829a11a4dfffff,Sunland N 26,,139.8,11.18
8829a18001fffff,Topanga W,,8.3,0.67
8829a18003fffff,Topanga NW,,20.7,1.66
8829a18005fffff,Topanga,,7.3,0.58
8829a18007fffff,Topanga N,,13.4,1.07
8829a18009fffff,Topanga SW,,21.1,1.69
8829a1800bfffff,Topanga W 2,,23.9,1.91
8829a1800dfffff,Topanga S,,13.3,1.06
8829a18011fffff,Topanga W 5,,47.2,3.78
8829a18013fffff,Topanga NW 6,,61.3,4.9
8829a18015fffff,Topanga NW 3,,35.5,2.84
8829a18017fffff,Topanga NW 5,,50.5,4.04
8829a18019fffff,Topanga W 6,,48.9,3.91
8829a1801bfffff,Topanga W 8,,60.7,4.86
8829a1801dfffff,Topanga W 3,,34.2,2.73
8829a18021fffff,Topanga NE 2,,33.8,2.7
8829a18023fffff,Topanga NE 3,,35.6,2.85
8829a18025fffff,Topanga NE 5,,48.5,3.88
8829a18027fffff,Topanga NE 4,,47.3,3.79
8829a18029fffff,Topanga E,,22.9,1.83
8829a1802bfffff,Topanga NE,,20.4,1.63
8829a1802dfffff,Topanga E 3,,38.5,3.08
8829a18031fffff,Topanga N 3,,40.0,3.2
8829a18033fffff,Topanga N 5,,53.8,4.3
8829a18035fffff,Topanga N 4,,43.1,3.45
8829a18037fffff,Topanga N 6,,54.0,4.32
8829a18039fffff,Topanga NW 2,,27.8,2.22
8829a1803bfffff,Topanga NW 4,,42.8,3.43
8829a1803dfffff,Topanga N 2,,27.8,2.23
8829a18041fffff,Topanga S 4,,43.4,3.47
8829a18043fffff,Topanga SW 3,,36.2,2.89
8829a18045fffff,Topanga S 3,,39.9,3.19
8829a18047fffff,Topanga S 2,,28.0,2.24
8829a18049fffff,Topanga S 7,,58.8,4.71
8829a1804bfffff,Topanga SW 6,,51.5,4.12
8829a1804dfffff,Topanga S 6,,54.0,4.32
8829a18051fffff,Topanga SW 5,,49.4,3.96
8829a18053fffff,Topanga W 7,,55.1,4.41
8829a18055fffff,Topanga SW 2,,34.7,2.77
8829a18057fffff,Topanga W 4,,39.5,3.16
8829a18059fffff,Topanga SW 7,,61.7,4.94
8829a1805bfffff,Topanga SW 9,,64.6,5.17
8829a1805dfffff,Topanga SW 4,,48.1,3.85
8829a18061fffff,Topanga SE 3,,34.7,2.77
8829a18063fffff,Topanga SE,,19.9,1.59
8829a18065fffff,Topanga E 4,,46.3,3.7
8829a18067fffff,Topanga E 2,,33.2,2.65
8829a18069fffff,Topanga SE 4,,42.3,3.39
8829a1806bfffff,Topanga SE 2,,27.4,2.19
8829a1806dfffff,Topanga SE 5,,49.8,3.98
8829a18081fffff,Calabasas SW,,36.7,2.93
8829a18083fffff,Calabasas W 3,,29.7,2.38
8829a18085fffff,Calabasas S,,30.2,2.41
8829a18087fffff,Calabasas W,,21.4,1.71
8829a18089fffff,Calabasas SW 3,,52.1,4.17
8829a1808bfffff,Calabasas SW 2,,45.0,3.6
8829a1808dfffff,Calabasas S 3,,45.4,3.64
8829a180a1fffff,Calabasas E,,15.3,1.22
8829a180a3fffff,Calabasas N,,4.6,0.36
8829a180a5fffff,Calabasas E 3,,21.6,1.73
8829a180a7fffff,Calabasas NE,,6.8,0.54
8829a180a9fffff,Calabasas SE,,28.7,2.29
8829a180abfffff,Calabasas,,15.5,1.24
8829a180adfffff,Calabasas E 2,,30.2,2.42
8829a180b1fffff,Hidden Hills S,,8.0,0.64
8829a180b3fffff,Hidden Hills W,,12.7,1.01
8829a180b5fffff,Hidden Hills SE,,11.2,0.89
8829a180b7fffff,Hidden Hills,,8.1,0.65
8829a180b9fffff,Calabasas W 2,,15.2,1.22
8829a180bbfffff,Hidden Hills SW,,21.7,1.74
8829a180bdfffff,Calabasas NW,,7.6,0.61
8829a180c1fffff,Calabasas S 9,,76.4,6.11
8829a180c3fffff,Calabasas SW 4,,67.6,5.41
8829a180c5fffff,Calabasas S 8,,71.0,5.68
