h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
8929ac48043ffff,Weedpatch SW 62,,132.0,10.56,80.0,routed,198.0,approach-review
8929ac48047ffff,Weedpatch SW 67,,129.9,10.39,273.0,routed,133.0,approach-review
8929ac4804bffff,Weedpatch SW 55,,134.5,10.76,0.0,routed,504.0,approach-review
8929ac48053ffff,Weedpatch SW 68,,135.4,10.83,59.0,routed,467.0,approach-review
8929ac48057ffff,Weedpatch SW 71,,133.1,10.65,296.0,routed,286.0,approach-review
8929ac4805bffff,Weedpatch SW 59,,136.5,10.92,0.0,routed,558.0,approach-review
8929ac480c3ffff,Weedpatch SW 77,,158.2,12.65,345.0,routed,617.0,approach-review
8929ac480cbffff,Weedpatch SW 72,,139.7,11.18,38.0,routed,814.0,approach-review
8929ac480cfffff,Weedpatch SW 75,,137.5,11.0,317.0,routed,633.0,approach-review
8929ac480d3ffff,Weedpatch SW 79,,153.7,12.3,364.0,routed,259.0,approach-review
8929ac480dbffff,Weedpatch SW 76,,156.7,12.54,3.0,routed,501.0,approach-review
8929ac48203ffff,Weedpatch SW 35,,96.0,7.68,0.0,routed,545.0,approach-review
8929ac4820bffff,Weedpatch SW 26,,93.4,7.48,0.0,routed,339.0,approach-review
8929ac4820fffff,Weedpatch SW 31,,92.2,7.38,253.0,routed,243.0,approach-review
8929ac48213ffff,Weedpatch SW 39,,100.4,8.03,0.0,routed,895.0,approach-review
8929ac4821bffff,Weedpatch SW 32,,97.9,7.83,0.0,routed,692.0,approach-review
8929ac48223ffff,Weedpatch W 17,,119.5,9.56,51.0,routed,808.0,approach-review
8929ac48227ffff,Weedpatch W 22,,108.6,8.69,0.0,routed,530.0,approach-review
8929ac4822bffff,Weedpatch W 12,,97.3,7.78,0.0,routed,648.0,approach-review
8929ac4822fffff,Weedpatch W 16,,111.7,8.94,0.0,routed,782.0,approach-review
8929ac48233ffff,Weedpatch SW 42,,119.6,9.57,168.0,routed,814.0,approach-review
8929ac48237ffff,Weedpatch SW 45,,115.3,9.23,410.0,routed,472.0,approach-review
8929ac4823bffff,Weedpatch SW 36,,95.6,7.65,403.0,routed,515.0,approach-review
8929ac48243ffff,Weedpatch SW 14,,89.9,7.19,0.0,routed,458.0,approach-review
8929ac48247ffff,Weedpatch SW 18,,85.7,6.86,290.0,routed,122.0,approach-review
8929ac4824bffff,Weedpatch SW 7,,75.9,6.07,323.0,routed,540.0,approach-review
8929ac4824fffff,Weedpatch SW 10,,88.7,7.1,330.0,routed,363.0,approach-review
8929ac48253ffff,Weedpatch SW 20,,93.5,7.48,0.0,routed,744.0,approach-review
8929ac48257ffff,Weedpatch SW 22,,90.2,7.22,0.0,routed,483.0,approach-review
8929ac4825bffff,Weedpatch SW 12,,77.8,6.23,0.0,routed,696.0,approach-review
8929ac48263ffff,Weedpatch SW 19,,94.6,7.57,0.0,routed,431.0,approach-review
8929ac48267ffff,Weedpatch W 8,,96.9,7.75,0.0,routed,618.0,approach-review
8929ac4826bffff,Weedpatch SW 11,,91.8,7.35,0.0,routed,614.0,approach-review
8929ac4826fffff,Weedpatch W 4,,99.0,7.92,0.0,routed,788.0,approach-review
8929ac48273ffff,Weedpatch SW 21,,90.8,7.27,366.0,routed,132.0,approach-review
8929ac48277ffff,Weedpatch SW 27,,92.9,7.43,0.0,routed,295.0,approach-review
8929ac4827bffff,Weedpatch SW 13,,87.3,6.98,0.0,routed,251.0,approach-review
8929ac48283ffff,Weedpatch SW 47,,142.5,11.4,0.0,routed,1141.0,approach-review
8929ac4828bffff,Weedpatch SW 43,,112.4,8.99,0.0,routed,1037.0,approach-review
8929ac48293ffff,Weedpatch SW 50,,144.1,11.53,0.0,routed,1163.0,approach-review
8929ac48297ffff,Weedpatch SW 52,,139.9,11.19,0.0,routed,825.0,approach-review
8929ac4829bffff,Weedpatch SW 46,,111.5,8.92,0.0,routed,963.0,approach-review
8929ac482c3ffff,Weedpatch SW 34,,105.9,8.47,0.0,routed,521.0,approach-review
8929ac482c7ffff,Weedpatch SW 37,,110.2,8.82,0.0,routed,866.0,approach-review
8929ac482cbffff,Weedpatch SW 25,,106.9,8.55,0.0,routed,598.0,approach-review
8929ac482cfffff,Weedpatch SW 28,,109.9,8.79,0.0,routed,837.0,approach-review
8929ac482d3ffff,Weedpatch SW 40,,103.5,8.28,0.0,routed,329.0,approach-review
8929ac482d7ffff,Weedpatch SW 41,,107.9,8.63,0.0,routed,679.0,approach-review
8929ac482dbffff,Weedpatch SW 33,,102.3,8.19,0.0,routed,233.0,approach-review
8929ac48343ffff,Weedpatch W 26,,99.1,7.93,263.0,routed,197.0,approach-review
8929ac48347ffff,Weedpatch W 30,,99.0,7.92,87.0,routed,188.0,approach-review
8929ac4834bffff,Weedpatch W 20,,102.3,8.19,0.0,routed,453.0,approach-review
8929ac4834fffff,Weedpatch W 24,,99.9,7.99,292.0,routed,255.0,approach-review
8929ac48353ffff,Weedpatch W 27,,104.1,8.33,234.0,routed,168.0,approach-review
8929ac48357ffff,Weedpatch W 31,,104.4,8.35,119.0,routed,195.0,approach-review
8929ac4835bffff,Weedpatch W 21,,107.9,8.63,0.0,routed,472.0,approach-review
