h3,name,holc,access_min,access_km,street_m,access_src
8828301001fffff,Waterstone Terrace SW 2,,46.8,3.74,1002.0,routed
8828301003fffff,Crockett SE 3,,52.4,4.2,2573.0,routed
8828301005fffff,Benicia,,55.9,4.47,281.0,routed
8828301007fffff,Waterstone Terrace SW,,50.9,4.07,1826.0,routed
8828301009fffff,Rancho Benicia SW 5,,69.3,5.54,1107.0,routed
882830100bfffff,Crockett SE 4,,60.8,4.86,744.0,routed
882830100dfffff,Rancho Benicia SW 2,,63.4,5.07,0.0,routed
8828301011fffff,Crockett,,18.0,1.44,2513.0,routed
8828301013fffff,Alexander Park,,0.9,0.08,10850.0,routed
8828301015fffff,Crockett E 2,,41.5,3.32,2534.0,routed
8828301017fffff,Crockett E,,13.5,1.08,6418.0,routed
8828301019fffff,Crockett S,,39.0,3.12,1270.0,routed
882830101bfffff,Valona S,,59.8,4.79,759.0,routed
882830101dfffff,Crockett SE,,35.2,2.82,199.0,routed
8828301029fffff,Rancho Benicia,,67.3,5.38,355.0,routed
882830102bfffff,Waterstone Terrace,,40.2,3.21,0.0,routed
8828301031fffff,Hampton Bay,,52.7,4.22,0.0,routed
8828301039fffff,Aqua Vista Condominium SW,,41.0,3.28,0.0,routed
882830103bfffff,Glen Cove SE,,34.6,2.77,11.0,routed
882830103dfffff,Aqua Vista Condominium,,62.8,5.02,0.0,routed
8828301041fffff,Rancho Benicia SW 6,,82.2,6.57,1117.0,routed
8828301043fffff,Crockett SE 6,,72.8,5.82,786.0,routed
8828301045fffff,Martinez W 7,,89.7,7.18,1177.0,routed
8828301047fffff,Rancho Benicia SW 4,,78.2,6.25,1040.0,routed
8828301049fffff,Martinez W 10,,97.4,7.79,102.0,routed
882830104bfffff,Crockett SE 7,,82.4,6.59,1487.0,routed
882830104dfffff,Martinez W 8,,122.7,9.82,364.0,routed
8828301051fffff,Crockett S 3,,59.2,4.74,0.0,routed
8828301053fffff,Crockett S 2,,53.2,4.26,0.0,routed
8828301055fffff,Crockett SE 5,,55.0,4.4,0.0,routed
8828301057fffff,Crockett SE 2,,43.0,3.44,502.0,routed
8828301059fffff,Crockett S 5,,80.1,6.41,0.0,routed
882830105bfffff,Valona S 4,,61.3,4.9,0.0,routed
882830105dfffff,Crockett S 4,,85.5,6.84,0.0,routed
8828301061fffff,Rancho Benicia S 3,,32.8,2.63,607.0,routed
8828301063fffff,Rancho Benicia SW,,68.6,5.49,0.0,routed
8828301065fffff,Rancho Benicia S 2,,38.2,3.06,0.0,routed
8828301067fffff,Rancho Benicia S,,42.9,3.44,0.0,routed
8828301069fffff,Martinez W 4,,40.5,3.24,360.0,routed
882830106bfffff,Rancho Benicia SW 3,,48.4,3.87,0.0,routed
882830106dfffff,Martinez NW 3,,36.3,2.9,1300.0,routed
88283010c1fffff,Valona W,,22.9,1.83,2456.0,routed
88283010c3fffff,Carquinez Highlands Mobile Home Park SW,,39.3,3.15,0.0,routed
88283010c5fffff,Valona N,,12.2,0.98,1674.0,routed
88283010c7fffff,Carquinez Highlands Mobile Home Park,,25.4,2.04,0.0,routed
88283010c9fffff,Valona W 2,,42.0,3.36,1172.0,routed
88283010cbfffff,Bayo Vista NE 2,,44.8,3.58,887.0,routed
88283010cdfffff,Valona,,21.7,1.73,5674.0,routed
88283010d1fffff,Bay Village Apartments,,67.0,5.36,0.0,routed
88283010d9fffff,Bayo Vista N 2,,60.6,4.85,0.0,routed
88283010dbfffff,Bayo Vista N 4,,71.8,5.75,0.0,routed
88283010ddfffff,Bayo Vista N 3,,53.2,4.25,0.0,routed
88283010e9fffff,Crockett N,,10.6,0.85,60.0,routed
88283010edfffff,Glen Cove,,23.7,1.89,496.0,routed
882830110dfffff,Maingate Townhomes E 2,,92.7,7.41,0.0,routed
8828301141fffff,Mountain View N 3,,44.3,3.55,1834.0,routed
8828301143fffff,Maingate Townhomes SE 2,,51.2,4.1,0.0,routed
8828301145fffff,Vine Hill N 4,,75.6,6.05,0.0,routed
8828301147fffff,Maingate Townhomes E,,59.8,4.79,0.0,routed
8828301149fffff,Mountain View N 2,,30.4,2.43,4130.0,routed
882830114bfffff,Martinez NE 2,,38.9,3.11,0.0,routed
882830114dfffff,Mountain View NE 2,,46.7,3.74,1615.0,routed
8828301159fffff,Maingate Townhomes,,25.6,2.05,0.0,routed
882830115dfffff,Maingate Townhomes SE,,31.9,2.55,185.0,routed
8828301161fffff,Vine Hill N 7,,87.8,7.03,170.0,routed
8828301163fffff,Maingate Townhomes E 4,,92.2,7.38,0.0,routed
8828301165fffff,Vine Hill N 8,,99.7,7.97,0.0,routed
8828301167fffff,Maingate Townhomes E 5,,98.3,7.86,0.0,routed
8828301169fffff,Vine Hill N 5,,70.2,5.62,0.0,routed
882830116bfffff,Maingate Townhomes E 3,,81.2,6.5,0.0,routed
882830116dfffff,Vine Hill N 6,,78.6,6.29,910.0,routed
8828301201fffff,Carriage Hills North E 6,,86.6,6.93,0.0,routed
8828301203fffff,Carriage Hills North NE 8,,69.3,5.54,0.0,routed
8828301205fffff,Carriage Hills North E 8,,131.8,10.55,160.0,routed
8828301207fffff,Carriage Hills North NE 12,,66.5,5.32,0.0,routed
8828301209fffff,Carriage Hills North E 5,,86.2,6.9,790.0,routed
882830120bfffff,Carriage Hills North E 4,,91.5,7.32,0.0,routed
882830120dfffff,Carriage Hills North E 7,,93.8,7.5,1002.0,routed
8828301211fffff,Carriage Hills North NE 6,,30.4,2.43,3924.0,routed
8828301213fffff,Carriage Hills North N 4,,13.8,1.1,8400.0,routed
8828301215fffff,Carriage Hills North NE 7,,48.7,3.89,0.0,routed
8828301217fffff,Carriage Hills North NE 9,,32.7,2.62,943.0,routed
8828301219fffff,Carriage Hills North NE 3,,40.2,3.21,0.0,routed
882830121bfffff,Carriage Hills North N 3,,30.4,2.43,687.0,routed
882830121dfffff,Carriage Hills North NE 5,,61.2,4.9,0.0,routed
8828301221fffff,Martinez SW 10,,97.6,7.81,0.0,routed
8828301223fffff,Martinez W 11,,107.2,8.58,450.0,routed
8828301225fffff,Martinez SW 9,,82.8,6.62,831.0,routed
8828301227fffff,Martinez W 9,,102.7,8.21,395.0,routed
8828301229fffff,Alhambra Valley W 15,,102.1,8.17,751.0,routed
882830122bfffff,Carriage Hills North NE 15,,101.5,8.12,697.0,routed
882830122dfffff,Alhambra Valley NW 6,,100.9,8.07,853.0,routed
8828301231fffff,Carriage Hills North NE 13,,82.8,6.62,744.0,routed
8828301233fffff,Alexandria Victoria By the Bay E 5,,93.5,7.48,0.0,routed
8828301235fffff,Crockett S 7,,95.3,7.63,0.0,routed
8828301237fffff,Crockett S 6,,91.4,7.32,313.0,routed
8828301239fffff,Carriage Hills North NE 10,,60.5,4.84,0.0,routed
882830123bfffff,Carriage Hills North NE 11,,43.4,3.47,0.0,routed
882830123dfffff,Carriage Hills North NE 14,,94.8,7.58,878.0,routed
8828301241fffff,Carriage Hills South E 6,,119.7,9.58,0.0,routed
8828301243fffff,Carriage Hills South E 4,,95.6,7.65,0.0,routed
8828301245fffff,Carriage Hills South E 9,,124.8,9.99,1219.0,routed
8828301247fffff,Carriage Hills South E 7,,104.7,8.38,1484.0,routed
8828301249fffff,Carriage Hills South E 5,,95.8,7.66,241.0,routed
882830124bfffff,Carriage Hills South E 3,,104.4,8.35,0.0,routed
882830124dfffff,Carriage Hills South E 8,,125.3,10.02,1689.0,routed
8828301251fffff,Carriage Hills North E 2,,69.9,5.59,0.0,routed
8828301253fffff,Carriage Hills North NE,,60.0,4.8,1319.0,routed
8828301255fffff,Carriage Hills North E 3,,93.6,7.49,852.0,routed
8828301257fffff,Carriage Hills North NE 4,,66.9,5.35,998.0,routed
8828301259fffff,Carriage Hills South E,,89.1,7.13,0.0,routed
882830125bfffff,Carriage Hills North E,,79.2,6.34,1775.0,routed
882830125dfffff,Carriage Hills South E 2,,102.9,8.24,0.0,routed
8828301261fffff,Alhambra Valley W 14,,113.2,9.06,1142.0,routed
8828301263fffff,Carriage Hills North E 9,,128.5,10.28,138.0,routed
8828301265fffff,Alhambra Valley W 10,,119.9,9.59,1513.0,routed
8828301267fffff,Alhambra Valley W 13,,121.0,9.68,450.0,routed
8828301269fffff,Carriage Hills South E 13,,123.5,9.88,957.0,routed
882830126bfffff,Carriage Hills South E 10,,119.9,9.59,1151.0,routed
882830126dfffff,Alhambra Valley W 11,,115.6,9.25,2129.0,routed
8828301281fffff,Alexandria Victoria By the Bay E,,25.1,2.0,9097.0,routed
8828301283fffff,Alexandria Victoria By the Bay N,,18.9,1.51,12007.0,routed
8828301285fffff,Alexandria Victoria By the Bay E 2,,35.4,2.83,6064.0,routed
8828301287fffff,Bayo Vista S,,23.3,1.86,6500.0,routed
8828301289fffff,Valley Oak Villas NE,,17.5,1.4,7459.0,routed
882830128bfffff,Alexandria Victoria By the Bay,,25.1,2.01,6068.0,routed
882830128dfffff,Alexandria Victoria By the Bay SE,,24.1,1.93,6310.0,routed
8828301291fffff,Dylan Apartment Homes N,,45.0,3.6,0.0,routed
