h3,name,holc,access_min,access_km,street_m,access_src
892830d0883ffff,Wendt Ranch,,53.6,4.29,0.0,routed
892830d0893ffff,Monterosso SE 2,,52.6,4.21,0.0,routed
892830d0897ffff,Monterosso SE,,49.8,3.98,0.0,routed
892830d0993ffff,Monterosso SW 2,,55.3,4.42,0.0,routed
892830d0c07ffff,Carlyle NE 2,,55.9,4.47,0.0,routed
892830d0c17ffff,Waterford NE 3,,49.3,3.94,0.0,routed
892830d0c23ffff,Aventura NE 5,,50.0,4.0,0.0,routed
892830d0c27ffff,Aventura N 4,,48.5,3.88,0.0,routed
892830d0c2bffff,Aventura NE 7,,56.9,4.55,0.0,routed
892830d0c2fffff,Aventura N 5,,52.8,4.22,0.0,routed
892830d0c33ffff,Aventura NE 4,,51.6,4.13,0.0,routed
892830d0c37ffff,Aventura N 3,,47.9,3.83,0.0,routed
892830d0c3bffff,Aventura NE 6,,54.0,4.32,0.0,routed
892830d0c83ffff,Waterford E 2,,42.6,3.41,0.0,routed
892830d0c87ffff,Waterford NE,,40.4,3.23,124.0,routed
892830d0c8fffff,Waterford NE 2,,45.2,3.61,0.0,routed
892830d0c93ffff,Waterford E 3,,41.6,3.33,0.0,routed
892830d0c97ffff,Waterford E,,39.4,3.15,638.0,routed
892830d0ca3ffff,Aventura NE,,36.5,2.92,0.0,routed
892830d0ca7ffff,Aventura N,,35.4,2.83,0.0,routed
892830d0cabffff,Aventura NE 3,,41.1,3.28,0.0,routed
892830d0cafffff,Aventura NE 2,,39.4,3.15,0.0,routed
892830d0cb3ffff,Carlyle,,36.5,2.92,861.0,routed
892830d0cb7ffff,Aventura,,32.9,2.63,1378.0,routed
892830d0cbbffff,Carlyle NE,,40.9,3.27,0.0,routed
892830d0d03ffff,Solaire & Belvedere NE 2,,29.7,2.38,345.0,routed
892830d0d07ffff,Avanti E,,24.5,1.96,38.0,routed
892830d0d0bffff,Solaire & Belvedere NE 3,,32.7,2.62,573.0,routed
892830d0d0fffff,Avanti NE 2,,37.6,3.01,44.0,routed
892830d0d13ffff,Solaire & Belvedere E 2,,24.4,1.96,1284.0,routed
892830d0d17ffff,Solaire & Belvedere NE,,20.5,1.64,1157.0,routed
892830d0d1bffff,Piccadilly Square Park,,30.7,2.46,1677.0,routed
892830d0d23ffff,Avanti N 2,,30.1,2.41,0.0,routed
892830d0d27ffff,Alta Mira E,,57.7,4.61,0.0,routed
892830d0d2bffff,Avanti NE 3,,59.5,4.76,0.0,routed
892830d0d2fffff,Avanti N 3,,56.0,4.48,0.0,routed
892830d0d33ffff,Avanti N,,25.9,2.07,128.0,routed
892830d0d37ffff,Avanti NW 2,,28.2,2.26,0.0,routed
892830d0d3bffff,Avanti NE,,28.8,2.31,0.0,routed
892830d0d43ffff,Monterosso S 3,,48.4,3.88,0.0,routed
892830d0d47ffff,Monterosso S,,43.0,3.44,403.0,routed
892830d0d4bffff,Monterosso S 2,,46.6,3.73,0.0,routed
892830d0d53ffff,Solaire & Belvedere E 5,,39.4,3.15,0.0,routed
892830d0d57ffff,Solaire & Belvedere NE 4,,36.7,2.93,1019.0,routed
892830d0d5bffff,Monterosso S 4,,45.8,3.67,0.0,routed
892830d0d63ffff,Monterosso,,39.4,3.15,876.0,routed
892830d0d67ffff,Monterosso SW,,47.4,3.8,46.0,routed
892830d0d77ffff,Monterosso SW 3,,41.7,3.34,0.0,routed
892830d0d83ffff,Solaire & Belvedere SE,,21.2,1.69,0.0,routed
892830d0d87ffff,Veranda,,13.5,1.08,1194.0,routed
892830d0d8bffff,Solaire & Belvedere SE 2,,25.0,2.0,1149.0,routed
892830d0d8fffff,Solaire & Belvedere E,,20.6,1.65,435.0,routed
892830d0d93ffff,Taramea W,,17.1,1.37,1569.0,routed
892830d0d97ffff,Shelbourne,,13.1,1.05,967.0,routed
892830d0d9bffff,Taramea N,,22.3,1.78,673.0,routed
892830d0da3ffff,Terravista N,,20.5,1.64,1106.0,routed
892830d0da7ffff,Monarch SE,,25.6,2.05,1236.0,routed
892830d0dabffff,Avanti,,21.3,1.71,1216.0,routed
892830d0dafffff,Avanti NW,,24.2,1.94,975.0,routed
892830d0db3ffff,Terravista,,11.7,0.94,2057.0,routed
892830d0db7ffff,Coronado,,15.7,1.25,1653.0,routed
892830d0dbbffff,Solaire & Belvedere,,15.8,1.27,1669.0,routed
892830d0dc3ffff,Fiore NE 2,,49.2,3.93,0.0,routed
892830d0dc7ffff,Solaire & Belvedere E 3,,30.8,2.46,0.0,routed
892830d0dcbffff,Fiore NE 3,,45.2,3.61,0.0,routed
892830d0dcfffff,Solaire & Belvedere E 4,,35.0,2.8,193.0,routed
892830d0dd3ffff,Fiore NE,,30.2,2.42,0.0,routed
892830d0dd7ffff,Fiore N,,28.8,2.3,364.0,routed
892830d0ddbffff,Aventura N 2,,53.5,4.28,0.0,routed
892830d286bffff,Chantera S,,30.1,2.4,0.0,routed
892830d286fffff,Chantera SW,,30.0,2.4,0.0,routed
892830d28a3ffff,eaves Dublin Apartments NE,,33.7,2.7,917.0,routed
892830d28a7ffff,The Hills at Bent Creek E,,29.9,2.39,1011.0,routed
892830d28afffff,Bent Creek Estates E 2,,30.4,2.43,468.0,routed
892830d28b7ffff,eaves Dublin Apartments,,36.2,2.9,944.0,routed
892830d2903ffff,Old Ranch Summit NE,,26.9,2.15,0.0,routed
892830d2907ffff,Old Ranch Summit NW,,23.7,1.9,232.0,routed
892830d290bffff,Old Ranch Estates N,,23.9,1.91,707.0,routed
892830d290fffff,Old Ranch Estates NW,,24.0,1.92,0.0,routed
892830d2913ffff,Old Ranch Summit SE,,11.2,0.89,546.0,routed
892830d2917ffff,Old Ranch Summit,,14.4,1.15,1646.0,routed
892830d291bffff,Old Ranch Estates,,19.9,1.6,705.0,routed
892830d2923ffff,Old Ranch Summit NW 3,,28.5,2.28,1021.0,routed
892830d2927ffff,Old Ranch Summit NW 5,,30.2,2.42,1834.0,routed
892830d292bffff,Old Ranch Summit N 2,,32.3,2.58,0.0,routed
892830d292fffff,Old Ranch Summit NW 6,,31.3,2.51,252.0,routed
892830d2933ffff,Old Ranch Summit NW 2,,20.0,1.6,872.0,routed
892830d2937ffff,Old Ranch Summit NW 4,,25.9,2.07,836.0,routed
892830d293bffff,Old Ranch Summit N,,27.6,2.21,0.0,routed
892830d2943ffff,Old Ranch Estates NE 2,,18.2,1.45,681.0,routed
892830d2947ffff,Old Ranch Estates N 2,,9.6,0.77,311.0,routed
892830d294bffff,Cambridge SW 2,,13.8,1.1,0.0,routed
892830d294fffff,Serena & Cordova SE,,10.4,0.83,1087.0,routed
