h3,lst_c,green_pct
8829a11001fffff,38.53,37.67
8829a11009fffff,42.59,25.78
8829a1100bfffff,39.66,35.13
8829a1100dfffff,43.2,21.56
8829a11041fffff,48.1,14.25
8829a11043fffff,47.72,11.06
8829a11045fffff,47.47,15.64
8829a11047fffff,47.1,14.2
8829a11049fffff,48.18,16.28
8829a1104bfffff,47.42,16.96
8829a1104dfffff,48.55,11.18
8829a11051fffff,47.09,15.54
8829a11053fffff,40.89,32.15
8829a11055fffff,43.38,23.0
8829a11057fffff,40.24,30.13
8829a11059fffff,46.85,16.92
8829a1105bfffff,45.56,17.08
8829a1105dfffff,47.95,13.56
8829a11061fffff,42.28,32.62
8829a11063fffff,39.35,34.19
8829a11065fffff,42.87,23.21
8829a11067fffff,38.01,38.44
8829a11069fffff,48.21,16.23
8829a1106bfffff,47.55,14.18
8829a1106dfffff,46.54,20.4
8829a11141fffff,38.21,34.37
8829a11143fffff,34.22,42.02
8829a11145fffff,39.87,32.82
8829a11147fffff,37.16,38.84
8829a11149fffff,42.13,25.39
8829a1114bfffff,36.46,35.03
8829a1114dfffff,39.39,34.79
8829a11151fffff,36.93,28.21
8829a11159fffff,39.1,19.19
8829a1115bfffff,38.38,30.8
8829a1115dfffff,34.53,36.4
8829a11169fffff,40.4,32.92
8829a1116bfffff,38.89,33.73
8829a1116dfffff,40.85,30.08
8829a11201fffff,44.48,23.45
8829a11203fffff,44.96,21.51
8829a11205fffff,48.11,11.02
8829a11207fffff,44.45,22.82
8829a11209fffff,47.85,12.43
8829a1120bfffff,47.75,14.64
8829a1120dfffff,46.13,22.84
8829a11211fffff,45.55,22.87
8829a11213fffff,44.09,28.7
8829a11215fffff,48.72,8.16
8829a11217fffff,48.97,4.33
8829a11219fffff,47.14,21.23
8829a1121bfffff,45.09,25.22
8829a1121dfffff,47.1,15.83
8829a11221fffff,49.0,15.71
8829a11223fffff,48.29,16.14
8829a11225fffff,48.38,17.47
8829a11227fffff,49.24,14.3
8829a11229fffff,50.11,10.46
8829a1122bfffff,48.23,14.45
8829a1122dfffff,49.46,11.24
8829a11231fffff,48.56,13.74
8829a11233fffff,49.71,11.16
8829a11235fffff,49.24,11.22
8829a11237fffff,48.65,12.01
8829a11239fffff,47.1,12.55
8829a1123bfffff,49.36,4.43
8829a1123dfffff,47.63,16.33
8829a11241fffff,48.8,12.57
8829a11243fffff,47.44,14.31
8829a11245fffff,48.54,18.13
8829a11247fffff,47.91,13.47
8829a11249fffff,47.63,15.43
8829a1124bfffff,47.87,17.04
8829a1124dfffff,48.07,17.07
8829a11251fffff,47.97,16.95
8829a11253fffff,48.8,14.63
8829a11255fffff,47.7,16.41
8829a11257fffff,48.5,13.67
8829a11259fffff,48.59,17.58
8829a1125bfffff,48.84,14.63
8829a1125dfffff,48.07,17.2
8829a11261fffff,47.47,10.35
8829a11263fffff,48.33,12.93
8829a11265fffff,48.99,10.54
8829a11267fffff,49.24,10.32
8829a11269fffff,49.48,10.18
8829a1126bfffff,48.02,13.81
8829a1126dfffff,48.63,13.67
8829a11281fffff,47.0,11.26
8829a11283fffff,44.45,20.18
8829a11285fffff,46.93,8.03
8829a11287fffff,46.37,13.02
8829a11289fffff,40.1,33.12
8829a1128bfffff,39.09,35.3
8829a1128dfffff,43.42,24.69
8829a11291fffff,37.22,36.52
8829a11295fffff,37.35,35.13
8829a11299fffff,37.02,36.44
8829a1129bfffff,34.9,44.92
8829a1129dfffff,36.61,40.03
8829a112a1fffff,39.43,31.68
8829a112a5fffff,39.0,32.36
8829a112a9fffff,41.97,25.85
8829a112abfffff,41.65,21.44
