id,previous_rank,current_rank,previous_score,current_score,previous_pop,current_pop,previous_ac,current_ac,rank_change
12,1729.0,1769.0,46.7,46.4,2.0,2.0,98.7,98.7,-40.0
15,1876.0,1916.0,45.8,45.6,2.0,2.0,98.7,98.7,-40.0
16,3284.0,3303.0,33.1,32.9,2.0,2.0,98.7,98.7,-19.0
17,3417.0,3428.0,31.0,30.8,2.0,2.0,98.7,98.7,-11.0
18,3102.0,3117.0,35.8,35.5,2.0,2.0,98.7,98.7,-15.0
19,3131.0,3150.0,35.4,35.2,2.0,2.0,98.7,98.7,-19.0
21,3310.0,3327.0,32.8,32.6,1.0,1.0,98.7,98.7,-17.0
22,3331.0,3345.0,32.5,32.3,1.0,1.0,98.7,98.7,-14.0
23,1216.0,1235.0,51.0,50.7,2.0,2.0,98.7,98.7,-19.0
24,1446.0,1472.0,48.8,48.5,2.0,2.0,98.7,98.7,-26.0
25,1732.0,1772.0,46.7,46.4,2.0,2.0,98.7,98.7,-40.0
26,2709.0,2741.0,39.6,39.3,2.0,2.0,98.7,98.7,-32.0
27,1119.0,1142.0,51.9,51.6,2.0,2.0,98.7,98.7,-23.0
28,1347.0,1362.0,49.7,49.5,2.0,2.0,98.7,98.7,-15.0
29,1252.0,1266.0,50.7,50.4,2.0,2.0,98.7,98.7,-14.0
30,3184.0,3201.0,34.7,34.4,2.0,2.0,98.7,98.7,-17.0
31,2793.0,2822.0,38.9,38.6,2.0,2.0,98.7,98.7,-29.0
32,2797.0,2825.0,38.8,38.6,1.0,1.0,98.7,98.7,-28.0
33,3136.0,3153.0,35.4,35.1,1.0,1.0,98.7,98.7,-17.0
34,2498.0,2531.0,41.4,41.2,2.0,2.0,98.7,98.7,-33.0
35,2663.0,2693.0,40.1,39.8,2.0,2.0,98.7,98.7,-30.0
36,3166.0,3184.0,34.9,34.6,2.0,2.0,98.7,98.7,-18.0
42,870.0,879.0,54.6,54.3,2.0,2.0,98.7,98.7,-9.0
43,846.0,861.0,54.8,54.5,2.0,2.0,98.7,98.7,-15.0
44,872.0,883.0,54.5,54.2,2.0,2.0,98.7,98.7,-11.0
45,933.0,953.0,53.7,53.4,2.0,2.0,98.7,98.7,-20.0
46,1735.0,1774.0,46.7,46.4,1.0,1.0,98.7,98.7,-39.0
47,919.0,929.0,54.0,53.7,2.0,2.0,98.7,98.7,-10.0
48,954.0,970.0,53.6,53.3,2.0,2.0,98.7,98.7,-16.0
49,3198.0,3213.0,34.5,34.3,2.0,2.0,98.7,98.7,-15.0
51,3309.0,3323.0,32.9,32.6,2.0,2.0,98.7,98.7,-14.0
52,2313.0,2369.0,42.8,42.6,2.0,2.0,98.7,98.7,-56.0
53,3306.0,3318.0,32.9,32.7,2.0,2.0,98.7,98.7,-12.0
55,3449.0,3464.0,30.2,30.0,2.0,2.0,98.7,98.7,-15.0
56,3032.0,3052.0,36.5,36.2,1.0,1.0,98.7,98.7,-20.0
57,2351.0,2398.0,42.6,42.3,2.0,2.0,98.7,98.7,-47.0
58,3390.0,3400.0,31.5,31.2,2.0,2.0,98.7,98.7,-10.0
59,3475.0,3486.0,29.4,29.2,2.0,2.0,98.7,98.7,-11.0
62,3130.0,3149.0,35.4,35.2,2.0,2.0,98.7,98.7,-19.0
86,2729.0,2737.0,39.5,39.3,5.0,6.0,99.98,99.97,-8.0
87,3065.0,2994.0,36.1,36.8,93.0,111.0,99.91,99.91,71.0
88,1631.0,1321.0,47.4,49.9,234.0,278.0,99.9,99.9,310.0
89,1039.0,878.0,52.6,54.3,133.0,170.0,100.0,100.0,161.0
90,1431.0,1118.0,48.9,51.8,253.0,303.0,99.91,99.91,313.0
91,2934.0,2954.0,37.4,37.2,7.0,8.0,100.0,100.0,-20.0
92,3578.0,3591.0,24.6,24.4,9.0,9.0,100.0,100.0,-13.0
94,3699.0,3710.0,18.5,18.3,8.0,8.0,100.0,100.0,-11.0
95,3492.0,3504.0,28.8,28.6,3.0,3.0,100.0,100.0,-12.0
96,3282.0,3300.0,33.2,33.0,7.0,7.0,100.0,100.0,-18.0
97,3378.0,3382.0,31.7,31.5,41.0,39.0,100.0,100.0,-4.0
98,3750.0,3762.0,8.7,8.6,8.0,8.0,100.0,100.0,-12.0
99,3665.0,3677.0,20.9,20.7,3.0,4.0,100.0,100.0,-12.0
101,641.0,626.0,57.9,58.1,250.0,250.0,100.0,100.0,15.0
102,1297.0,1090.0,50.3,52.0,139.0,179.0,100.0,100.0,207.0
103,502.0,544.0,60.5,59.6,325.0,299.0,100.0,100.0,-42.0
104,812.0,784.0,55.2,55.5,245.0,247.0,100.0,100.0,28.0
105,3145.0,3163.0,35.3,35.0,7.0,6.0,100.0,100.0,-18.0
106,2761.0,2723.0,39.2,39.5,66.0,85.0,100.0,100.0,38.0
107,1180.0,1230.0,51.3,50.8,198.0,183.0,100.0,100.0,-50.0
109,3179.0,3190.0,34.7,34.6,5.0,6.0,100.0,100.0,-11.0
110,3234.0,3249.0,34.0,33.7,4.0,4.0,100.0,100.0,-15.0
111,3008.0,3026.0,36.8,36.6,9.0,9.0,100.0,100.0,-18.0
112,3527.0,3542.0,27.3,27.1,2.0,2.0,100.0,100.0,-15.0
113,3671.0,3682.0,20.4,20.2,3.0,3.0,100.0,100.0,-11.0
114,3686.0,3697.0,19.4,19.2,3.0,4.0,100.0,100.0,-11.0
115,1533.0,1555.0,48.1,47.9,5.0,6.0,99.3,99.3,-22.0
117,3504.0,3516.0,28.3,28.1,1.0,1.0,99.3,99.3,-12.0
118,2520.0,2542.0,41.3,41.1,6.0,7.0,99.3,99.3,-22.0
119,368.0,230.0,63.9,68.2,318.0,370.0,99.6,99.6,138.0
120,424.0,307.0,62.1,65.7,315.0,357.0,99.6,99.6,117.0
121,1063.0,1029.0,52.4,52.7,122.0,119.0,99.58,99.61,34.0
122,675.0,478.0,57.3,61.0,283.0,327.0,99.61,99.61,197.0
123,454.0,340.0,61.4,64.8,208.0,243.0,99.6,99.6,114.0
124,460.0,392.0,61.2,63.3,222.0,242.0,99.6,99.6,68.0
125,378.0,382.0,63.4,63.5,221.0,221.0,99.38,99.38,-4.0
126,712.0,667.0,56.7,57.3,299.0,302.0,99.6,99.6,45.0
127,563.0,587.0,59.3,59.0,298.0,290.0,99.71,99.71,-24.0
128,339.0,276.0,64.6,66.7,308.0,330.0,99.72,99.73,63.0
129,1076.0,1220.0,52.2,50.9,293.0,272.0,99.94,99.94,-144.0
130,744.0,633.0,56.1,58.1,307.0,329.0,99.6,99.6,111.0
131,858.0,830.0,54.6,54.9,298.0,296.0,99.62,99.62,28.0
132,696.0,485.0,56.9,60.8,320.0,372.0,99.6,99.6,211.0
133,2595.0,2579.0,40.6,40.8,40.0,38.0,99.8,99.8,16.0
134,2805.0,2788.0,38.7,38.9,51.0,49.0,99.8,99.8,17.0
135,1168.0,1101.0,51.4,51.9,257.0,247.0,99.8,99.8,67.0
136,2564.0,2609.0,40.9,40.5,34.0,32.0,99.3,99.3,-45.0
137,1108.0,1105.0,52.0,51.8,109.0,98.0,99.8,99.8,3.0
138,604.0,672.0,58.6,57.2,196.0,176.0,99.9,99.89,-68.0
139,290.0,414.0,66.1,62.6,427.0,381.0,99.8,99.8,-124.0
140,651.0,760.0,57.8,55.9,130.0,107.0,99.8,99.8,-109.0
141,1161.0,1052.0,51.4,52.5,94.0,91.0,99.8,99.8,109.0
142,631.0,470.0,58.1,61.2,235.0,267.0,99.63,99.64,161.0
143,394.0,390.0,63.1,63.3,341.0,327.0,99.8,99.8,4.0
144,2712.0,2743.0,39.6,39.3,3.0,3.0,100.0,100.0,-31.0
145,2980.0,3007.0,37.0,36.7,3.0,3.0,100.0,100.0,-27.0
146,1319.0,1155.0,50.0,51.5,95.0,111.0,99.63,99.62,164.0
147,1933.0,1972.0,45.5,45.2,2.0,2.0,99.6,99.6,-39.0
148,2768.0,2792.0,39.1,38.9,2.0,2.0,100.0,100.0,-24.0
149,2369.0,2408.0,42.5,42.2,5.0,5.0,100.0,100.0,-39.0
150,2051.0,2081.0,44.7,44.6,45.0,44.0,99.67,99.67,-30.0
151,757.0,820.0,55.9,55.1,314.0,289.0,99.99,99.99,-63.0
152,307.0,301.0,65.7,66.0,291.0,290.0,99.6,99.6,6.0
